XAI Eval (resnet18)

Top-1 Accuracy
pct,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
random,,,,,,,,,,,,,,,,,,,
saliency,,,,,,,,,,,,,,,,,,,
guided_backprop,,,,,,,,,,,,,,,,,,,
smoothgrad,,,,,,,,,,,,,,,,,,,
gradcam,,,,,,,,,,,,,,,,,,,
guided_gradcam,,,,,,,,,,,,,,,,,,,
inputxgradient,,,,,,,,,,,,,,,,,,,
integrated_gradients,,,,,,,,,,,,,,,,,,,
gradientshap,,,,,,,,,,,,,,,,,,,

Top-5 Accuracy
pct,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
random,,,,,,,,,,,,,,,,,,,
saliency,,,,,,,,,,,,,,,,,,,
guided_backprop,,,,,,,,,,,,,,,,,,,
smoothgrad,,,,,,,,,,,,,,,,,,,
gradcam,,,,,,,,,,,,,,,,,,,
guided_gradcam,,,,,,,,,,,,,,,,,,,
inputxgradient,,,,,,,,,,,,,,,,,,,
integrated_gradients,,,,,,,,,,,,,,,,,,,
gradientshap,,,,,,,,,,,,,,,,,,,
