Image,Real,Name,Class_1,Probability_1,Class_2,Probability_2,Class_3,Probability_3,Class_4,Probability_4,Class_5,Probability_5,Id,Match
1,,tench,handkerchief,0.1821727156639099,envelope,0.09612002223730087,loggerhead,0.07935185730457306,isopod,0.06947526335716248,menu,0.057992756366729736,0.0,False
2,,goldfish,handkerchief,0.4022481441497803,plastic bag,0.1341957300901413,goldfish,0.0644521415233612,shower curtain,0.04206939414143562,binder,0.04120906442403793,1.0,True
3,,great white shark,great white shark,0.6967554092407227,handkerchief,0.06879241019487381,geyser,0.02653544768691063,fountain,0.02649172954261303,jellyfish,0.017477015033364296,2.0,True
4,,tiger shark,stole,0.2425369769334793,quilt,0.047254905104637146,dishrag,0.04109727591276169,leatherback turtle,0.033181075006723404,shower curtain,0.031981877982616425,3.0,False
5,,hammerhead,handkerchief,0.5295518040657043,pillow,0.06063098832964897,shower curtain,0.04570390656590462,tray,0.03731929138302803,bib,0.03509870544075966,4.0,False
6,,electric ray,electric ray,0.5455421805381775,stingray,0.19519007205963135,mitten,0.026199311017990112,bib,0.024869151413440704,pick,0.022778641432523727,5.0,True
7,,stingray,electric ray,0.11098899692296982,stingray,0.046866778284311295,ant,0.04091667756438255,bubble,0.03821231797337532,handkerchief,0.03807904198765755,6.0,True
8,,cock,jigsaw puzzle,0.6141662001609802,handkerchief,0.05566376820206642,chain,0.014237847179174423,brassiere,0.013494149781763554,pillow,0.012389530427753925,7.0,False
9,,hen,handkerchief,0.14422458410263062,jigsaw puzzle,0.08984079957008362,shower curtain,0.07712242007255554,stole,0.03456098958849907,apron,0.03295452892780304,8.0,False
10,,ostrich,American alligator,0.6698298454284668,African crocodile,0.07673922181129456,lakeside,0.026892773807048798,chain,0.02033953182399273,menu,0.010152149945497513,9.0,False
11,,brambling,ptarmigan,0.06609660387039185,handkerchief,0.04204115644097328,cheetah,0.036462072283029556,manhole cover,0.03498148173093796,ruddy turnstone,0.0341460146009922,10.0,False
12,,goldfinch,handkerchief,0.10177233070135117,American alligator,0.05096973106265068,shower curtain,0.04530927538871765,jersey,0.042725399136543274,jigsaw puzzle,0.03711523115634918,11.0,False
13,,house finch,shower curtain,0.14363908767700195,American alligator,0.07865643501281738,menu,0.057830024510622025,handkerchief,0.04460993409156799,envelope,0.04004063084721565,12.0,False
14,,junco,shower curtain,0.14792171120643616,spider web,0.12361142039299011,fountain,0.10193533450365067,handkerchief,0.03812841325998306,jigsaw puzzle,0.03762977570295334,13.0,False
15,,indigo bunting,poncho,0.11761995404958725,stole,0.1121705025434494,prayer rug,0.09609093517065048,dishrag,0.0711728036403656,cardigan,0.06085755676031113,14.0,False
16,,robin,spider web,0.7017747163772583,fountain,0.03966052085161209,jigsaw puzzle,0.03257929906249046,orange,0.016129223629832268,garden spider,0.01072645653039217,15.0,False
17,,bulbul,redshank,0.18757407367229462,bustard,0.1583891361951828,bulbul,0.059362687170505524,ptarmigan,0.05497727170586586,limpkin,0.04376837983727455,16.0,True
18,,jay,handkerchief,0.34981805086135864,great white shark,0.07105263322591782,hummingbird,0.036761898547410965,water bottle,0.027368776500225067,bustard,0.02596828155219555,17.0,False
19,,magpie,American alligator,0.6030265092849731,terrapin,0.09356041997671127,African crocodile,0.09045151621103287,handkerchief,0.021682603284716606,menu,0.01720559597015381,18.0,False
20,,chickadee,leatherback turtle,0.5124109387397766,volcano,0.0467110201716423,handkerchief,0.03882506489753723,loggerhead,0.03780036419630051,chain,0.031026596203446388,19.0,False
21,,water ouzel,handkerchief,0.12622570991516113,menu,0.08867102116346359,volcano,0.0725056529045105,American alligator,0.0436210036277771,leatherback turtle,0.03694802150130272,20.0,False
22,,kite,handkerchief,0.657267689704895,jigsaw puzzle,0.09654296189546585,shower curtain,0.03664476424455643,pinwheel,0.033307019621133804,pillow,0.023556353524327278,21.0,False
23,,bald eagle,American alligator,0.3519699275493622,African crocodile,0.13620604574680328,menu,0.06755147874355316,binder,0.04617800563573837,jigsaw puzzle,0.043440647423267365,22.0,False
24,,vulture,envelope,0.2677435576915741,handkerchief,0.1843654364347458,jigsaw puzzle,0.09197863191366196,spider web,0.07679208368062973,American alligator,0.028324415907263756,23.0,False
25,,great grey owl,handkerchief,0.2694266736507416,shower curtain,0.16763804852962494,brass,0.04144499823451042,megalith,0.039110198616981506,jigsaw puzzle,0.0313764289021492,24.0,False
26,,European fire salamander,jigsaw puzzle,0.23181529343128204,shower curtain,0.03833566978573799,dough,0.033370036631822586,mixing bowl,0.030536865815520287,bubble,0.023901985958218575,25.0,False
27,,common newt,starfish,0.5373746156692505,handkerchief,0.06193256750702858,brassiere,0.041703980416059494,bib,0.03719513490796089,jigsaw puzzle,0.020965788513422012,26.0,False
28,,eft,starfish,0.17835325002670288,ant,0.09282466024160385,handkerchief,0.06527353823184967,jigsaw puzzle,0.05013052746653557,leatherback turtle,0.04297216981649399,27.0,False
29,,spotted salamander,American alligator,0.318203866481781,African crocodile,0.2526136040687561,common newt,0.03192531317472458,spider web,0.031185125932097435,honeycomb,0.02829115465283394,28.0,False
30,,axolotl,African crocodile,0.11441747844219208,diamondback,0.1104922667145729,American alligator,0.1100977212190628,banded gecko,0.077336385846138,water snake,0.06019070744514465,29.0,False
31,,bullfrog,starfish,0.12745340168476105,coral reef,0.12317908555269241,American alligator,0.04570611193776131,volcano,0.04265508055686951,African crocodile,0.03289862349629402,30.0,False
32,,tree frog,starfish,0.11178096383810043,shovel,0.06510402262210846,fountain,0.05913512036204338,leatherback turtle,0.04921916872262955,honeycomb,0.0454038605093956,31.0,False
33,,tailed frog,leatherback turtle,0.313139408826828,mixing bowl,0.060323234647512436,dough,0.05362507328391075,handkerchief,0.046417199075222015,face powder,0.0458487793803215,32.0,False
34,,loggerhead,menu,0.0977000892162323,bubble,0.08011513948440552,leatherback turtle,0.04285981133580208,American alligator,0.04209170117974281,brass,0.03422102332115173,33.0,False
35,,leatherback turtle,leatherback turtle,0.1430656462907791,starfish,0.10914939641952515,fountain,0.0920984074473381,sea cucumber,0.06258449703454971,shower curtain,0.05963505059480667,34.0,True
36,,mud turtle,starfish,0.2471199482679367,spider web,0.1580236405134201,stingray,0.03575844690203667,tub,0.02290174551308155,bathing cap,0.020861675962805748,35.0,False
37,,terrapin,honeycomb,0.2647271156311035,handkerchief,0.1597464382648468,stole,0.0675802007317543,poncho,0.04725756496191025,gown,0.03691934049129486,36.0,False
38,,box turtle,handkerchief,0.08673018217086792,leatherback turtle,0.0679704025387764,mud turtle,0.04165389761328697,terrapin,0.03838299587368965,ant,0.02641185000538826,37.0,False
39,,banded gecko,leatherback turtle,0.612676203250885,loggerhead,0.09510183334350586,American alligator,0.07542548328638077,African crocodile,0.04413456842303276,terrapin,0.014596695080399513,38.0,False
40,,common iguana,fountain,0.08160557597875595,shower curtain,0.07583931088447571,shovel,0.04791196808218956,geyser,0.043064285069704056,handkerchief,0.03627729043364525,39.0,False
41,,American chameleon,African chameleon,0.17461490631103516,common iguana,0.13340535759925842,green lizard,0.12202553451061249,agama,0.07968007773160934,leatherback turtle,0.05111370235681534,40.0,False
42,,whiptail,shower curtain,0.12111343443393707,bubble,0.11751547455787659,spider web,0.07172801345586777,jigsaw puzzle,0.02760167047381401,shovel,0.019145511090755463,41.0,False
43,,agama,agama,0.3335665166378021,starfish,0.17381833493709564,banded gecko,0.11212626844644547,leatherback turtle,0.057740285992622375,handkerchief,0.04356803372502327,42.0,True
44,,frilled lizard,leatherback turtle,0.17175863683223724,starfish,0.06895916908979416,hammerhead,0.029608888551592827,electric ray,0.029126210138201714,maze,0.026108641177415848,43.0,False
45,,alligator lizard,handkerchief,0.25379419326782227,shower curtain,0.13941532373428345,spider web,0.08933129906654358,jigsaw puzzle,0.05959499254822731,sandbar,0.017835309728980064,44.0,False
46,,Gila monster,menu,0.15670129656791687,envelope,0.13642168045043945,binder,0.07486267387866974,handkerchief,0.058251362293958664,jigsaw puzzle,0.05262250825762749,45.0,False
47,,green lizard,horned viper,0.111849345266819,ant,0.0903853327035904,maze,0.05055421590805054,American alligator,0.039879195392131805,tree frog,0.033741142600774765,46.0,False
48,,African chameleon,shower curtain,0.09916531294584274,handkerchief,0.07059601694345474,menu,0.03198085352778435,tray,0.0312655009329319,Petri dish,0.02720319852232933,47.0,False
49,,Komodo dragon,African crocodile,0.6698746085166931,American alligator,0.09981897473335266,leatherback turtle,0.030911581590771675,bustard,0.02255777269601822,Komodo dragon,0.011685800738632679,48.0,True
50,,African crocodile,volcano,0.14862984418869019,leatherback turtle,0.10639107972383499,sandbar,0.09174487739801407,maze,0.03524579480290413,starfish,0.03358587622642517,49.0,False
51,,American alligator,stingray,0.08565450459718704,American alligator,0.06862951815128326,African crocodile,0.04173963516950607,starfish,0.03831884637475014,handkerchief,0.03435944393277168,50.0,True
52,,triceratops,chainlink fence,0.04369870200753212,prayer rug,0.04077910631895065,maze,0.03360315039753914,menu,0.032601919025182724,spider web,0.03196251764893532,51.0,False
53,,thunder snake,starfish,0.7914043664932251,baseball,0.05806524679064751,water snake,0.012501551769673824,thunder snake,0.012151605449616909,centipede,0.012066531926393509,52.0,True
54,,ringneck snake,handkerchief,0.3099636435508728,ant,0.09566587954759598,starfish,0.03428617864847183,leatherback turtle,0.03209691867232323,sea snake,0.025254935026168823,53.0,False
55,,hognose snake,sea cucumber,0.12678906321525574,starfish,0.11584419757127762,Gila monster,0.07366308569908142,diamondback,0.05090050771832466,horned viper,0.04661748185753822,54.0,False
56,,green snake,green mamba,0.5870301723480225,green snake,0.19572028517723083,tennis ball,0.08075610548257828,green lizard,0.030756507068872452,vine snake,0.009635306894779205,55.0,True
57,,king snake,sea snake,0.18409596383571625,diamondback,0.13487939536571503,African crocodile,0.10820233821868896,water snake,0.09111291170120239,hognose snake,0.0909150093793869,56.0,False
58,,garter snake,handkerchief,0.46534037590026855,stole,0.03233489394187927,tray,0.0292873065918684,apron,0.028836699202656746,poncho,0.025838477537035942,57.0,False
59,,water snake,leatherback turtle,0.10484185069799423,loggerhead,0.030947508290410042,sandbar,0.028378471732139587,envelope,0.028213106095790863,American alligator,0.027931511402130127,58.0,False
60,,vine snake,beer glass,0.16540227830410004,fountain,0.12958255410194397,pitcher,0.06302179396152496,shower curtain,0.03937605395913124,mixing bowl,0.0350162610411644,59.0,False
61,,night snake,spider web,0.22746248543262482,handkerchief,0.0780264288187027,shower curtain,0.04338418319821358,leatherback turtle,0.04099298641085625,starfish,0.039741400629282,60.0,False
62,,boa constrictor,stole,0.17785385251045227,handkerchief,0.1670764833688736,shower curtain,0.13022494316101074,starfish,0.04969500005245209,leatherback turtle,0.03964187577366829,61.0,False
63,,rock python,leatherback turtle,0.20607233047485352,starfish,0.12666958570480347,loggerhead,0.030756236985325813,conch,0.027658633887767792,sea snake,0.025378158316016197,62.0,False
64,,Indian cobra,honeycomb,0.11110831797122955,handkerchief,0.10768083482980728,jellyfish,0.08759025484323502,tray,0.04551434889435768,chiton,0.03892985358834267,63.0,False
65,,green mamba,spider web,0.2125503271818161,jigsaw puzzle,0.10581616312265396,handkerchief,0.028599876910448074,bubble,0.026851870119571686,American alligator,0.02018122747540474,64.0,False
66,,sea snake,flatworm,0.2188730686903,banana,0.10938874632120132,slug,0.09526631236076355,sea cucumber,0.07409709692001343,starfish,0.057196542620658875,65.0,False
67,,horned viper,handkerchief,0.07482931017875671,tray,0.07339079678058624,starfish,0.05145624279975891,American alligator,0.04527730494737625,leatherback turtle,0.041425783187150955,66.0,False
68,,diamondback,honeycomb,0.25475388765335083,ant,0.10001416504383087,coil,0.04828384518623352,starfish,0.03247156739234924,jigsaw puzzle,0.030458327382802963,67.0,False
69,,sidewinder,leatherback turtle,0.0669044777750969,shower cap,0.062380898743867874,starfish,0.060599979013204575,horned viper,0.05728718265891075,sidewinder,0.05209018290042877,68.0,True
70,,trilobite,chain mail,0.1517658680677414,starfish,0.1337941437959671,leatherback turtle,0.10204209387302399,stole,0.08245907723903656,shower curtain,0.04284101352095604,69.0,False
71,,harvestman,starfish,0.05692596733570099,ant,0.04160807281732559,spider web,0.0383644662797451,goldfish,0.037776291370391846,leatherback turtle,0.03407963737845421,70.0,False
72,,scorpion,prayer rug,0.16061235964298248,maze,0.044972993433475494,bubble,0.03433581814169884,stole,0.028974730521440506,starfish,0.028353644534945488,71.0,False
73,,black and gold garden spider,paper towel,0.17945608496665955,spider web,0.14330045878887177,shower curtain,0.1378496140241623,envelope,0.0657263696193695,handkerchief,0.06168514862656593,72.0,False
74,,barn spider,American alligator,0.16415508091449738,African crocodile,0.0972016379237175,leatherback turtle,0.05729654058814049,jigsaw puzzle,0.05135837569832802,ant,0.045195311307907104,73.0,False
75,,garden spider,spider web,0.17467258870601654,American alligator,0.03868820518255234,bustard,0.03747633844614029,ant,0.03693869337439537,cheetah,0.030078424140810966,74.0,False
76,,black widow,handkerchief,0.2684311270713806,envelope,0.12607958912849426,barn spider,0.07490819692611694,knot,0.06990174204111099,necklace,0.054786503314971924,75.0,False
77,,tarantula,starfish,0.150701642036438,leatherback turtle,0.14758779108524323,tarantula,0.09255196899175644,fountain,0.06786938011646271,shower curtain,0.055245522409677505,76.0,True
78,,wolf spider,shower curtain,0.21599413454532623,shovel,0.11746818572282791,fountain,0.11726705729961395,geyser,0.061339121311903,volcano,0.03477358818054199,77.0,False
79,,tick,shower curtain,0.21292543411254883,shovel,0.06662244349718094,fountain,0.05819522961974144,starfish,0.0553414523601532,handkerchief,0.05269384756684303,78.0,False
80,,centipede,centipede,0.20536334812641144,sea snake,0.11747977137565613,chain,0.0807252749800682,necklace,0.07775513827800751,hognose snake,0.0676020085811615,79.0,True
81,,black grouse,leatherback turtle,0.27933555841445923,handkerchief,0.045857399702072144,volcano,0.037004128098487854,envelope,0.026676012203097343,redshank,0.020455773919820786,80.0,False
82,,ptarmigan,maze,0.048383403569459915,jigsaw puzzle,0.044279083609580994,shower curtain,0.02556350827217102,sandbar,0.025253064930438995,leatherback turtle,0.023006202653050423,81.0,False
83,,ruffed grouse,jigsaw puzzle,0.034095797687768936,envelope,0.029850849881768227,chain,0.02808898687362671,American alligator,0.022006303071975708,binder,0.021942218765616417,82.0,False
84,,prairie chicken,handkerchief,0.21664263308048248,jigsaw puzzle,0.06913486123085022,hip,0.04374044016003609,ladybug,0.032670892775058746,ant,0.029517998918890953,83.0,False
85,,peacock,sea cucumber,0.1644793599843979,peacock,0.132398784160614,flatworm,0.05670440196990967,eel,0.03967748209834099,sea slug,0.027685943990945816,84.0,True
86,,quail,ant,0.0938970223069191,African crocodile,0.06424316763877869,American alligator,0.03201410174369812,sandbar,0.028448499739170074,fiddler crab,0.023013055324554443,85.0,False
87,,partridge,ptarmigan,0.21414870023727417,bustard,0.20660972595214844,partridge,0.13220663368701935,quail,0.09661182761192322,ruffed grouse,0.050788428634405136,86.0,True
88,,African grey,washbasin,0.20205116271972656,saltshaker,0.06187932565808296,fountain,0.05204131826758385,padlock,0.0341607891023159,shower curtain,0.030724456533789635,87.0,False
89,,macaw,handkerchief,0.2751542329788208,agama,0.1188250258564949,macaw,0.07685437798500061,jigsaw puzzle,0.0635208934545517,shower curtain,0.024180077016353607,88.0,True
90,,sulphur-crested cockatoo,ptarmigan,0.8301836252212524,goose,0.019329583272337914,bustard,0.019318940117955208,albatross,0.016916753724217415,Bedlington terrier,0.009677158668637276,89.0,False
91,,lorikeet,handkerchief,0.1312875747680664,bib,0.12912771105766296,Christmas stocking,0.0540292002260685,tray,0.042317770421504974,apron,0.039319396018981934,90.0,False
92,,coucal,envelope,0.13814841210842133,starfish,0.13693641126155853,spider web,0.13227012753486633,jigsaw puzzle,0.08908268064260483,handkerchief,0.07273434847593307,91.0,False
93,,bee eater,handkerchief,0.10381604731082916,envelope,0.06897269189357758,nematode,0.04176202788949013,African crocodile,0.026278134435415268,chain,0.025335144251585007,92.0,False
94,,hornbill,volcano,0.525240421295166,handkerchief,0.06340150535106659,brassiere,0.030890071764588356,shower curtain,0.025758657604455948,kimono,0.022832268849015236,93.0,False
95,,hummingbird,handkerchief,0.31943270564079285,starfish,0.16988402605056763,mitten,0.07718390226364136,Christmas stocking,0.042404044419527054,apron,0.03651953488588333,94.0,False
96,,jacamar,shovel,0.17761564254760742,starfish,0.08470849692821503,umbrella,0.05840695649385452,fountain,0.05388275533914566,maze,0.03502030670642853,95.0,False
97,,toucan,jigsaw puzzle,0.1572621911764145,handkerchief,0.1169852539896965,shower curtain,0.10085956752300262,bubble,0.09121797233819962,coral reef,0.046868979930877686,96.0,False
98,,drake,American alligator,0.7886465787887573,African crocodile,0.10537029802799225,leatherback turtle,0.033010222017765045,loggerhead,0.007661441341042519,bullfrog,0.007384003140032291,97.0,False
99,,red-breasted merganser,ant,0.28250259160995483,leatherback turtle,0.1546526402235031,spider web,0.024345001205801964,fiddler crab,0.019686145707964897,envelope,0.01904468797147274,98.0,False
100,,goose,redshank,0.07022802531719208,volcano,0.06888696551322937,starfish,0.06757184118032455,hammerhead,0.04722949117422104,leatherback turtle,0.04136420041322708,99.0,False
101,,black swan,starfish,0.48726946115493774,fountain,0.10009372979402542,shovel,0.08187584578990936,teddy,0.07423926889896393,honeycomb,0.05069325491786003,100.0,False
102,,tusker,fountain,0.2534930109977722,Irish water spaniel,0.22939197719097137,maze,0.15988899767398834,geyser,0.047846727073192596,Bedlington terrier,0.033133309334516525,101.0,False
103,,echidna,shower curtain,0.4033654034137726,starfish,0.08110792934894562,jigsaw puzzle,0.06542965769767761,shovel,0.044100962579250336,leatherback turtle,0.028118383139371872,102.0,False
104,,platypus,handkerchief,0.2326282411813736,jellyfish,0.062753826379776,electric ray,0.06219857931137085,brain coral,0.04150283336639404,stingray,0.030815428122878075,103.0,False
105,,wallaby,bubble,0.1391695886850357,shower curtain,0.12624986469745636,starfish,0.05473453179001808,fountain,0.028461387380957603,spider web,0.027526475489139557,104.0,False
106,,koala,fountain,0.21712075173854828,handkerchief,0.09886118769645691,geyser,0.06080339476466179,American alligator,0.03694447502493858,shower curtain,0.03503028303384781,105.0,False
107,,wombat,handkerchief,0.1563938409090042,jellyfish,0.07259216904640198,leatherback turtle,0.0633106455206871,great white shark,0.057362355291843414,shovel,0.03906691074371338,106.0,False
108,,jellyfish,prayer rug,0.31053268909454346,maze,0.1806892305612564,pillow,0.1439562439918518,handkerchief,0.053604524582624435,tray,0.041333261877298355,107.0,False
109,,sea anemone,sandbar,0.07990292459726334,leatherback turtle,0.02751319296658039,bubble,0.022727377712726593,starfish,0.021815858781337738,bottlecap,0.017640486359596252,108.0,False
110,,brain coral,stingray,0.10852759331464767,starfish,0.09382826089859009,brain coral,0.07507684826850891,sea cucumber,0.05943702906370163,stole,0.05907842516899109,109.0,True
111,,flatworm,flatworm,0.05891316011548042,ant,0.05324944853782654,honeycomb,0.04488907381892204,shower curtain,0.03686099126935005,leatherback turtle,0.034939661622047424,110.0,True
112,,nematode,nematode,0.451443076133728,necklace,0.23401179909706116,handkerchief,0.20425008237361908,chain,0.04862907528877258,bib,0.01908421888947487,111.0,True
113,,conch,honeycomb,0.12327593564987183,fountain,0.08855879306793213,starfish,0.06487220525741577,sea slug,0.051617350429296494,shower curtain,0.04871795326471329,112.0,False
114,,snail,jellyfish,0.4107801914215088,handkerchief,0.14310964941978455,bubble,0.0969277173280716,jigsaw puzzle,0.04337089881300926,Petri dish,0.020023291930556297,113.0,False
115,,slug,leatherback turtle,0.264483779668808,African crocodile,0.11503424495458603,American alligator,0.10319748520851135,sea cucumber,0.08611082285642624,stole,0.05019349977374077,114.0,False
