Index,True_Label,Match,llm_1
0,tench,True,True
100,black swan,True,True
101,tusker,True,True
102,echidna,False,False
103,platypus,False,False
104,wallaby,True,True
105,koala,True,True
106,wombat,False,False
107,jellyfish,True,True
108,sea anemone,True,True
109,brain coral,True,True
10,brambling,True,True
110,flatworm,False,False
111,nematode,False,False
112,conch,True,True
113,snail,True,True
114,slug,True,True
115,sea slug,True,True
116,chiton,True,True
117,chambered nautilus,True,True
118,Dungeness crab,True,True
119,rock crab,True,True
11,goldfinch,True,True
120,fiddler crab,True,True
121,king crab,False,False
122,American lobster,False,False
123,spiny lobster,True,True
124,crayfish,True,True
125,hermit crab,False,False
126,isopod,True,True
127,white stork,True,True
128,black stork,True,True
129,spoonbill,True,True
12,house finch,True,True
130,flamingo,False,False
131,little blue heron,True,True
132,American egret,True,True
133,bittern,True,True
134,crane,False,False
135,limpkin,False,False
136,European gallinule,True,True
137,American coot,True,True
138,bustard,False,False
139,ruddy turnstone,True,True
13,junco,True,True
140,red-backed sandpiper,False,False
141,redshank,False,False
142,dowitcher,False,False
143,oystercatcher,False,False
144,pelican,True,True
145,king penguin,True,True
146,albatross,False,False
147,grey whale,False,False
148,killer whale,True,True
149,dugong,False,False
14,indigo bunting,True,True
150,sea lion,True,True
151,Chihuahua,True,True
152,Japanese spaniel,True,True
153,Maltese dog,True,True
154,Pekinese,True,True
155,Shih-Tzu,False,False
156,Blenheim spaniel,False,False
157,papillon,False,False
158,toy terrier,False,False
159,Rhodesian ridgeback,True,True
15,robin,False,False
160,Afghan hound,False,False
161,basset,True,True
162,beagle,True,True
163,bloodhound,True,True
164,bluetick,True,True
165,black-and-tan coonhound,True,True
166,Walker hound,False,False
167,English foxhound,False,False
168,redbone,False,False
169,borzoi,True,True
16,bulbul,True,True
170,Irish wolfhound,False,False
171,Italian greyhound,True,True
172,whippet,True,True
173,Ibizan hound,True,True
174,Norwegian elkhound,True,True
175,otterhound,False,False
176,Saluki,True,True
177,Scottish deerhound,False,False
178,Weimaraner,True,True
179,Staffordshire bullterrier,False,False
17,jay,False,False
180,American Staffordshire terrier,True,True
181,Bedlington terrier,True,True
182,Border terrier,False,False
183,Kerry blue terrier,True,True
184,Irish terrier,True,True
185,Norfolk terrier,False,False
186,Norwich terrier,True,True
187,Yorkshire terrier,True,True
188,wire-haired fox terrier,True,True
189,Lakeland terrier,False,False
18,magpie,True,True
190,Sealyham terrier,True,True
191,Airedale,False,False
192,cairn,True,True
193,Australian terrier,True,True
194,Dandie Dinmont,True,True
195,Boston bull,False,False
196,miniature schnauzer,True,True
197,giant schnauzer,True,True
198,standard schnauzer,True,True
199,Scotch terrier,True,True
19,chickadee,False,False
1,goldfish,True,True
20,water ouzel,False,False
21,kite,True,True
22,bald eagle,True,True
23,vulture,True,True
24,great grey owl,True,True
25,European fire salamander,False,False
26,common newt,True,True
27,eft,False,False
28,spotted salamander,True,True
29,axolotl,False,False
2,great white shark,False,False
30,bullfrog,True,True
31,tree frog,True,True
32,tailed frog,True,True
33,loggerhead,False,False
34,leatherback turtle,True,True
35,mud turtle,True,True
36,terrapin,True,True
37,box turtle,True,True
38,banded gecko,False,False
39,common iguana,True,True
3,tiger shark,False,False
40,American chameleon,False,False
41,whiptail,True,True
42,agama,False,False
43,frilled lizard,False,False
44,alligator lizard,True,True
45,Gila monster,True,True
46,green lizard,True,True
47,African chameleon,True,True
48,Komodo dragon,False,False
49,African crocodile,False,False
4,hammerhead,False,False
50,American alligator,True,True
51,triceratops,True,True
52,thunder snake,False,False
53,ringneck snake,False,False
54,hognose snake,False,False
55,green snake,True,True
56,king snake,True,True
57,garter snake,True,True
58,water snake,True,True
59,vine snake,True,True
5,electric ray,True,True
60,night snake,True,True
61,boa constrictor,True,True
62,rock python,True,True
63,Indian cobra,True,True
64,green mamba,True,True
65,sea snake,False,False
66,horned viper,True,True
67,diamondback,True,True
68,sidewinder,True,True
69,trilobite,False,False
6,stingray,True,True
70,harvestman,True,True
71,scorpion,False,False
72,black and gold garden spider,True,True
73,barn spider,True,True
74,garden spider,True,True
75,black widow,False,False
76,tarantula,False,False
77,wolf spider,True,True
78,tick,True,True
79,centipede,True,True
7,cock,True,True
80,black grouse,True,True
81,ptarmigan,False,False
82,ruffed grouse,True,True
83,prairie chicken,False,False
84,peacock,True,True
85,quail,True,True
86,partridge,True,True
87,African grey,True,True
88,macaw,False,False
89,sulphur-crested cockatoo,True,True
8,hen,False,False
90,lorikeet,True,True
91,coucal,False,False
92,bee eater,True,True
93,hornbill,True,True
94,hummingbird,True,True
95,jacamar,False,False
96,toucan,True,True
97,drake,False,False
98,red-breasted merganser,True,True
99,goose,True,True
9,ostrich,False,False
