Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,98.93773915816328
100,black swan,True,True,98.19236288265306
101,tusker,True,True,94.58904655612244
102,echidna,True,True,90.70870535714286
103,platypus,False,False,99.82661033163264
104,wallaby,False,False,99.62930484693877
105,koala,False,False,99.65720663265306
106,wombat,False,False,99.38416772959184
107,jellyfish,True,True,99.57150829081633
108,sea anemone,True,True,95.5436862244898
109,brain coral,True,True,97.1420599489796
10,brambling,True,True,98.01299426020408
110,flatworm,True,True,98.34781568877553
111,nematode,False,False,100.0
112,conch,True,True,96.42857142857144
113,snail,False,False,97.35730229591836
114,slug,True,True,98.06680484693877
115,sea slug,True,True,98.16844706632652
116,chiton,True,True,99.3622448979592
117,chambered nautilus,True,True,96.62189094387756
118,Dungeness crab,True,True,98.4893176020408
119,rock crab,True,True,99.96811224489797
11,goldfinch,True,True,93.51283482142856
120,fiddler crab,True,True,98.99553571428572
121,king crab,True,True,99.53962053571428
122,American lobster,False,False,99.87045599489797
123,spiny lobster,True,True,99.15298150510203
124,crayfish,True,True,99.85451211734694
125,hermit crab,False,False,99.72098214285714
126,isopod,False,False,99.67713647959184
127,white stork,True,True,98.2601243622449
128,black stork,True,True,98.21029974489797
129,spoonbill,False,False,98.1963488520408
12,house finch,True,True,98.93773915816328
130,flamingo,False,False,99.55955038265306
131,little blue heron,True,True,99.64724170918367
132,American egret,True,True,97.94124681122447
133,bittern,False,False,98.34382971938776
134,crane,True,True,99.7528698979592
135,limpkin,False,False,99.00948660714286
136,European gallinule,False,False,96.91485969387756
137,American coot,False,False,98.46739477040816
138,bustard,True,True,97.54264987244898
139,ruddy turnstone,False,False,96.21532206632652
13,junco,False,False,99.73891900510203
140,red-backed sandpiper,False,False,99.1729113520408
141,redshank,False,False,99.50773278061224
142,dowitcher,False,False,98.7563775510204
143,oystercatcher,False,False,98.04288903061224
144,pelican,True,True,98.4733737244898
145,king penguin,True,True,98.1006855867347
146,albatross,True,True,98.4195631377551
147,grey whale,True,True,99.99800701530611
148,killer whale,False,False,99.82063137755102
149,dugong,False,False,97.68813775510203
14,indigo bunting,True,True,99.10913584183672
150,sea lion,True,True,99.90632971938776
151,Chihuahua,True,True,99.83657525510203
152,Japanese spaniel,True,True,98.64277742346938
153,Maltese dog,False,False,98.92378826530611
154,Pekinese,True,True,99.88241390306123
155,Shih-Tzu,True,True,97.2476881377551
156,Blenheim spaniel,False,False,98.73445471938776
157,papillon,False,False,99.37420280612244
158,toy terrier,True,True,99.15896045918367
159,Rhodesian ridgeback,False,False,98.13456632653062
15,robin,False,False,99.57549426020408
160,Afghan hound,False,False,99.48182397959184
161,basset,False,False,99.17689732142856
162,beagle,True,True,98.59494579081633
163,bloodhound,False,False,97.99107142857144
164,bluetick,True,True,89.76602359693877
165,black-and-tan coonhound,True,True,99.3961256377551
166,Walker hound,False,False,99.81066645408164
167,English foxhound,False,False,99.86049107142856
168,redbone,False,False,97.61838329081633
169,borzoi,False,False,98.83410395408164
16,bulbul,False,False,93.27766262755102
170,Irish wolfhound,False,False,97.67219387755102
171,Italian greyhound,True,True,98.96364795918367
172,whippet,True,True,97.4071269132653
173,Ibizan hound,False,False,98.98557079081633
174,Norwegian elkhound,False,False,98.90983737244898
175,otterhound,False,False,99.61933992346938
176,Saluki,False,False,99.6811224489796
177,Scottish deerhound,False,False,98.88791454081633
178,Weimaraner,False,False,99.8565051020408
179,Staffordshire bullterrier,False,False,99.4858099489796
17,jay,False,False,99.2625956632653
180,American Staffordshire terrier,False,False,99.37619579081633
181,Bedlington terrier,True,True,98.2860331632653
182,Border terrier,False,False,98.29001913265306
183,Kerry blue terrier,True,True,96.20137117346938
184,Irish terrier,False,False,98.06082589285714
185,Norfolk terrier,False,False,97.46492346938776
186,Norwich terrier,False,False,99.08322704081633
187,Yorkshire terrier,False,False,98.25613839285714
188,wire-haired fox terrier,False,False,99.36623086734694
189,Lakeland terrier,False,False,98.50326849489797
18,magpie,False,False,98.9975286989796
190,Sealyham terrier,False,False,97.06632653061224
191,Airedale,False,False,89.29169323979592
192,cairn,True,True,99.82661033163264
193,Australian terrier,False,False,96.00406568877553
194,Dandie Dinmont,False,False,98.6507493622449
195,Boston bull,False,False,98.82413903061224
196,miniature schnauzer,False,False,99.08123405612244
197,giant schnauzer,False,False,99.89237882653062
198,standard schnauzer,False,False,98.7842793367347
199,Scotch terrier,False,False,98.7822863520408
19,chickadee,True,True,99.52168367346938
1,goldfish,True,True,96.20336415816328
200,Tibetan terrier,False,False,95.54567920918367
201,silky terrier,True,True,99.93223852040816
202,soft-coated wheaten terrier,False,False,95.91438137755102
203,West Highland white terrier,True,True,98.35578762755102
204,Lhasa,False,False,99.48979591836736
205,flat-coated retriever,False,False,97.61639030612244
206,curly-coated retriever,True,True,99.64923469387756
207,golden retriever,False,False,98.1804049744898
208,Labrador retriever,True,True,99.0493463010204
209,Chesapeake Bay retriever,True,True,97.11216517857144
20,water ouzel,False,False,99.39811862244898
210,German short-haired pointer,False,False,98.26411033163264
211,vizsla,True,True,99.11710778061224
212,English setter,False,False,97.67617984693877
213,Irish setter,False,False,99.6532206632653
214,Gordon setter,False,False,99.5655293367347
215,Brittany spaniel,True,True,98.99354272959184
216,clumber,True,True,94.17251275510203
217,English springer,False,False,99.45192920918367
218,Welsh springer spaniel,False,False,97.7718431122449
219,cocker spaniel,True,True,99.54958545918367
21,kite,False,False,99.69905931122447
220,Sussex spaniel,True,True,98.54512117346938
221,Irish water spaniel,True,True,99.51371173469389
222,kuvasz,True,True,98.69658801020408
223,schipperke,False,False,99.79272959183672
224,groenendael,False,False,99.05133928571428
225,malinois,False,False,97.7359693877551
226,briard,True,True,98.55907206632652
227,kelpie,False,False,96.93478954081633
228,komondor,False,False,99.42203443877553
229,Old English sheepdog,False,False,98.9696269132653
22,bald eagle,True,True,98.81816007653062
230,Shetland sheepdog,True,True,98.86001275510203
231,collie,False,False,96.7155612244898
232,Border collie,False,False,99.4678730867347
233,Bouvier des Flandres,False,False,98.25015943877553
234,Rottweiler,False,False,92.82126913265306
235,German shepherd,False,False,99.33235012755102
236,Doberman,False,False,99.71898915816328
237,miniature pinscher,False,False,99.04336734693877
238,Greater Swiss Mountain dog,True,True,99.24067283163264
239,Bernese mountain dog,False,False,99.1928411989796
23,vulture,False,False,99.83856823979592
240,Appenzeller,False,False,99.1649394132653
241,EntleBucher,False,False,99.6452487244898
242,boxer,False,False,98.86001275510203
243,bull mastiff,False,False,98.93574617346938
244,Tibetan mastiff,True,True,98.38767538265306
245,French bulldog,False,False,99.37619579081633
246,Great Dane,False,False,99.6890943877551
247,Saint Bernard,False,False,97.71205357142856
248,Eskimo dog,True,True,98.3757174744898
249,malamute,False,False,92.74553571428572
24,great grey owl,False,False,98.29998405612244
250,Siberian husky,True,True,99.54360650510203
251,dalmatian,True,True,99.75486288265306
252,affenpinscher,False,False,99.7688137755102
253,basenji,False,False,99.81066645408164
254,pug,False,False,98.73644770408164
255,Leonberg,False,False,95.76092155612244
256,Newfoundland,True,True,98.12858737244898
257,Great Pyrenees,False,False,99.6452487244898
258,Samoyed,True,True,99.8226243622449
259,Pomeranian,False,False,99.1669323979592
25,European fire salamander,False,False,99.3423150510204
260,chow,False,False,98.83211096938776
261,keeshond,False,False,99.8405612244898
262,Brabancon griffon,False,False,99.0752551020408
263,Pembroke,False,False,97.67219387755102
264,Cardigan,True,True,99.23270089285714
265,toy poodle,True,True,97.91932397959184
266,miniature poodle,False,False,98.59494579081633
267,standard poodle,True,True,99.6352838010204
268,Mexican hairless,True,True,99.3343431122449
269,timber wolf,False,False,98.92777423469389
26,common newt,True,True,99.05731823979592
270,white wolf,False,False,97.7020886479592
271,red wolf,False,False,99.51371173469389
272,coyote,False,False,96.84111926020408
273,dingo,False,False,98.8101881377551
274,dhole,False,False,99.82063137755102
275,African hunting dog,True,True,99.84654017857144
276,hyena,False,False,99.40210459183672
277,red fox,True,True,99.13703762755102
278,kit fox,False,False,99.48182397959184
279,Arctic fox,False,False,99.4319993622449
27,eft,True,True,95.87053571428572
280,grey fox,False,False,99.97608418367348
281,tabby,True,True,95.66525829081633
282,tiger cat,False,False,98.11662946428572
283,Persian cat,False,False,97.87547831632652
284,Siamese cat,True,True,99.40808354591836
285,Egyptian cat,True,True,97.64628507653062
286,cougar,False,False,98.12858737244898
287,lynx,True,True,99.82860331632652
288,leopard,True,True,99.1729113520408
289,snow leopard,False,False,99.18885522959184
28,spotted salamander,True,True,99.21875
290,jaguar,False,False,99.2366868622449
291,lion,False,False,97.75988520408164
292,tiger,False,False,98.51124043367348
293,cheetah,False,False,98.95368303571428
294,brown bear,True,True,99.18885522959184
295,American black bear,True,True,99.12906568877553
296,ice bear,False,False,98.82613201530611
297,sloth bear,True,True,99.07326211734694
298,mongoose,False,False,98.16645408163264
299,meerkat,False,False,99.25661670918367
29,axolotl,False,False,98.81816007653062
2,great white shark,False,False,99.0852200255102
