Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,anemone fish,tench,tench,tench,fish,freshwater fish,perciformes,perches,sunfish
100,black swan,True,tench,tench,black swan,black swan,tench,bird,waterfowl,swan,black swan,animal
101,tusker,True,Indian elephant,tench,tench,tench,tusker,Elephant,Mammal,Animal,Vertebrate,Tusker
102,echidna,False,tench,tench,tench,tench,tench,Echidnas,Mammals,Animals,Wildlife,Reptiles and Amphibians
103,platypus,True,tench,platypus,tench,tench,tench,duck,platypus,bird,animal,mammal
104,wallaby,False,tench,tench,fox squirrel,tree frog,fox squirrel,Mammal,Rodent,Squirrel,Tree squirrel,Eastern gray squirrel
105,koala,True,koala,tench,tench,tench,tench,koala,marsupial,mammal,animal,eucalyptus-eating-marsupial
106,wombat,False,tench,tench,tench,tench,tench,Mammal,Animal,Carnivore,Predator,Wildlife
107,jellyfish,True,jellyfish,tench,tench,tench,tench,jellyfish,aquatic animal,animal,mollusk,marine animal
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,actiniaria,cnidarians,animals,vertebrates
109,brain coral,True,brain coral,brain coral,brain coral,tench,tench,coral,brain coral,stony coral,Scleractinia,Anthozoa
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,animal,wildlife
110,flatworm,True,sea slug,flatworm,tench,tench,tench,sea slug,flatworm,marine animal,mollusc,animal
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,vertebrate,mammal
112,conch,True,tench,conch,snail,tench,tench,shell,conch,sea snail,mollusk,marine mollusc
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,True,tench,tench,tench,slug,snail,Arthropod,Insect,Gastropod,Slug,Land snail
115,sea slug,False,tench,tench,tench,fly,tench,Animal,Arthropod,Insect,Fly,Diptera
116,chiton,True,tench,tench,chiton,tench,tench,shellfish,bivalve mollusk,chiton,mollusc,animal
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,Nautilus,Mollusks,Cephalopods,Shelled cephalopods,Nautiloidea
118,Dungeness crab,True,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,invertebrate,animal
119,rock crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Ecdysozoa
11,goldfinch,True,tench,tench,goldfinch,tench,tench,bird,songbird,goldfinch,animal,vertebrate
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
121,king crab,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
122,American lobster,True,tench,tench,American lobster,American lobster,tench,crustacean,shellfish,lobster,American lobster,Homarus americanus
123,spiny lobster,True,tench,tench,spiny lobster,tench,tench,crustacean,decapod crustacean,spiny lobster,panulirus argus,animal
124,crayfish,False,tench,tench,Dungeness crab,Dungeness crab,tench,crustacean,decapod,crab,blue crab,Callinectes sapidus
125,hermit crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
126,isopod,False,tench,tench,tench,tench,tench,Isopoda,Crustacea,Arthropoda,Animalia,Invertebrate
127,white stork,True,tench,white stork,white stork,tench,tench,bird,stork,white stork,adult,standing
128,black stork,True,tench,white stork,black stork,tench,tench,bird,stork,black stork,wading bird,long-legged wader
129,spoonbill,True,tench,tench,flamingo,spoonbill,spoonbill,bird,wading bird,flamingo,spoonbill,roseate spoonbill
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,Passeriformes,Fringillidae
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,mammal
131,little blue heron,True,tench,water ouzel,tench,little blue heron,tench,bird,water bird,heron,little blue heron,Ardea coerulea
132,American egret,False,tench,water ouzel,tench,tench,white stork,bird,water bird,heron,wading bird,white heron
133,bittern,True,tench,bittern,bittern,tench,tench,bird,bittern,great-bittern,ardeidae,charadriiformes
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,grus,brolga
135,limpkin,True,tench,water ouzel,limpkin,tench,tench,bird,water bird,limpkin,animal,wildlife
136,European gallinule,False,tench,water ouzel,tench,American coot,tench,bird,water bird,shorebird,coot,rail
137,American coot,True,tench,water ouzel,American coot,American coot,tench,bird,water bird,coot,American coot,Rallidae
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,cranes and their allies,gruiformes,animals
139,ruddy turnstone,True,tench,tench,ruddy turnstone,ruddy turnstone,tench,bird,shorebird,turnstone,ruddy turnstone,Charadriidae
13,junco,True,tench,junco,tench,tench,tench,bird,junco,sparrow,passerine,songbird
140,red-backed sandpiper,True,tench,tench,tench,red-backed sandpiper,tench,bird,shorebird,sandpiper,red-backed sandpiper,calidris ruficollis
141,redshank,True,tench,tench,redshank,tench,tench,bird,shorebird,redshank,Tringa totanus,wader
142,dowitcher,True,tench,tench,tench,tench,dowitcher,bird,shorebird,sandpiper,calidris,dowitcher
143,oystercatcher,True,tench,oystercatcher,tench,tench,tench,bird,oystercatcher,haematopus ostralegus,animal,wildlife
144,pelican,True,tench,pelican,pelican,tench,water ouzel,bird,pelican,brown pelican,pelecanus occidentalis,water bird
145,king penguin,True,king penguin,tench,tench,tench,king penguin,penguin,bird,animal,mammal,king penguin
146,albatross,True,tench,albatross,albatross,tench,tench,bird,albatross,southern royal albatross,diomede exulans,animal
147,grey whale,True,grey whale,tench,tench,tench,tench,whale,mammal,animal,vertebrate,cetacea
148,killer whale,True,tench,tench,tench,tench,killer whale,Cetacea,Odontoceti,Delphinidae,Orcinus orca,Killer Whale
149,dugong,False,tench,tench,tench,tench,tench,Manatee,Mammal,Carnivore,Aquatic mammal,Sirenian
14,indigo bunting,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,indigobunting
150,sea lion,False,tench,tench,tench,tench,tench,Seal,Mammal,Animal,Vertebrate,Carnivore
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,dog,chihuahua,animal,pet,mammal
152,Japanese spaniel,True,Maltese dog,tench,Japanese spaniel,tench,tench,dog,breed,Japanese Spaniel,Canis lupus familiaris,mammal
153,Maltese dog,True,Maltese dog,tench,tench,tench,tench,dog,breed,small_breed,white_dog,long_haired_dog
154,Pekinese,False,Maltese dog,tench,tench,tench,tench,dog,pekingese,breed,canine,animal
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,dog,Shih Tzu,animal,mammal,canine
156,Blenheim spaniel,True,Maltese dog,Japanese spaniel,Blenheim spaniel,Japanese spaniel,king snake,dog,spaniel,Blenheim spaniel,Blonde Spaniel,Cavalier King Charles Spaniel
157,papillon,True,Maltese dog,papillon,tench,tench,tench,Dog,Papillon,Canine,Pet,Animal
158,toy terrier,False,Doberman,Maltese dog,tench,tench,tench,Doberman Pinscher,Dog,Canine,Mammal,Animal
159,Rhodesian ridgeback,True,Maltese dog,Rhodesian ridgeback,tench,tench,tench,dog,Rhodesian Ridgeback,breed,animal,mammal
15,robin,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,cardinalidae
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,dog,Afghan Hound,canine,animal,mammal
161,basset,True,Maltese dog,basset,tench,tench,tench,Dog,Basset Hound,Canine,Mammal,Animal
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,breed,canine,mammal
163,bloodhound,True,Maltese dog,bloodhound,tench,tench,tench,dog,bloodhound,animal,mammal,canine
164,bluetick,True,Maltese dog,bluetick,cocker spaniel,English setter,German short-haired pointer,dog,bluetick coonhound,cocker spaniel,english setter,german shorthaired pointer
165,black-and-tan coonhound,True,tench,Maltese dog,Maltese dog,black-and-tan coonhound,tench,Canine,Dog,Hound dog,Black and tan coonhound,Coonhound
166,Walker hound,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Jack Russell Terrier,Canine,Mammal
167,English foxhound,True,Maltese dog,cocker spaniel,English foxhound,beagle,basset,dog,cocker spaniel,english foxhound,beagle,basset hound
168,redbone,False,Maltese dog,tench,golden retriever,cocker spaniel,tench,dog,puppy,retriever,cocker spaniel,breed
169,borzoi,True,Maltese dog,borzoi,tench,tench,tench,Dog,Borzoi,Canine,Animal,Mammal
16,bulbul,True,tench,tench,bulbul,bulbul,tench,bird,songbird,bulbul,red-whiskered bulbul,Pycnonotus jocosus
170,Irish wolfhound,True,Maltese dog,toy terrier,Irish wolfhound,tench,tench,Dog,Terrier,Irish Wolfhound,Animal,Mammal
171,Italian greyhound,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
172,whippet,True,Maltese dog,tench,whippet,borzoi,Italian greyhound,Dog,Canine,Whippet,Borzoi,Greyhound
173,Ibizan hound,True,Maltese dog,Ibizan hound,tench,tench,tench,dog,Ibizan Hound,Canis lupus familiaris,mammal,animal
174,Norwegian elkhound,True,Maltese dog,tench,Norwegian elkhound,tench,tench,dog,breed,Norwegian Elkhound,Canis lupus familiaris,canine
175,otterhound,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
176,Saluki,True,Saluki,tench,Maltese dog,tench,tench,Saluki,Canine,Dog,Animal,Mammal
177,Scottish deerhound,True,Maltese dog,Scottish deerhound,tench,toy terrier,Afghan hound,Dog,Scottish Deerhound,Canine,Terrier,Hound
178,Weimaraner,True,Maltese dog,tench,Weimaraner,tench,tench,dog,breed,Weimaraner,animal,mammal
179,Staffordshire bullterrier,False,Maltese dog,tench,American Staffordshire terrier,toy terrier,tench,dog,breed,Staffordshire Bull Terrier,Terrier,Canine
17,jay,True,tench,tench,tench,jay,tench,Birds,Passerines,Corvidae,Blue Jay,Cyanocitta cristata
180,American Staffordshire terrier,True,American Staffordshire terrier,toy terrier,tench,Maltese dog,tench,American Staffordshire Terrier,Terrier,Canine,Dog,Mammal
181,Bedlington terrier,True,Bedlington terrier,toy terrier,tench,Maltese dog,tench,Bedlington Terrier,Terrier,Canine,Dog,Mammal
182,Border terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
183,Kerry blue terrier,True,toy terrier,Kerry blue terrier,Maltese dog,tench,tench,Terrier,Kerry Blue Terrier,Dog,Canine,Mammal
184,Irish terrier,True,Maltese dog,toy terrier,Irish terrier,toy terrier,tench,dog,terrier,Irish Terrier,Terrier,Canine
185,Norfolk terrier,True,Norfolk terrier,toy terrier,Maltese dog,tench,tench,Norfolk Terrier,Terrier,Dog,Canine,Mammal
186,Norwich terrier,True,Maltese dog,toy terrier,Norwich terrier,tench,tench,Dog,Terrier,Norwich Terrier,Canine,Mammal
187,Yorkshire terrier,True,Maltese dog,Yorkshire terrier,tench,toy terrier,tench,dog,Yorkshire Terrier,Canine,Terrier,Pet
188,wire-haired fox terrier,True,toy terrier,wire-haired fox terrier,toy terrier,Maltese dog,tench,Terrier,Wire-haired,Fox Terrier,Dog,Mammal
189,Lakeland terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Animal,Mammal,Vertebrate
18,magpie,True,tench,magpie,magpie,tench,tench,bird,magpie,Australian Magpie,Corvus coronoides,Passeriformes
190,Sealyham terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
191,Airedale,True,Maltese dog,toy terrier,Airedale,tench,tench,dog,terrier,airedale terrier,animal,mammal
192,cairn,True,Maltese dog,toy terrier,cairn,tench,tench,dog,terrier,cairn terrier,breed,animal
193,Australian terrier,False,Maltese dog,toy terrier,Maltese dog,tench,tench,dog,terrier,toy dog,animal,mammal
194,Dandie Dinmont,True,Maltese dog,toy terrier,Dandie Dinmont,Maltese dog,tench,dog,terrier,Dandie Dinmont Terrier,small dog,pet
195,Boston bull,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Boston Terrier,Canine,Mammal
196,miniature schnauzer,True,Maltese dog,miniature schnauzer,miniature schnauzer,tench,tench,dog,miniature schnauzer,schnauzer,animal,mammal
197,giant schnauzer,True,Maltese dog,toy terrier,miniature schnauzer,giant schnauzer,tench,dog,terrier,schnauzer,giant schnauzer,breed
198,standard schnauzer,True,Maltese dog,toy terrier,miniature schnauzer,standard schnauzer,tench,dog,terrier,schnauzer,standard schnauzer,animal
199,Scotch terrier,False,Maltese dog,toy terrier,toy terrier,tench,tench,dog,terrier,scottish terrier,animal,mammal
19,chickadee,True,tench,tench,chickadee,chickadee,tench,bird,songbird,chickadee,black-capped chickadee,small bird
1,goldfish,False,tench,tench,Maltese dog,toy terrier,Norfolk terrier,animal,mammal,dog,terrier,norfolk terrier
200,Tibetan terrier,True,Maltese dog,toy terrier,Tibetan terrier,Maltese dog,black widow,Dog,Terrier,Tibetan Terrier,Small Breed Dog,Black Dog
201,silky terrier,True,Maltese dog,toy terrier,silky terrier,tench,tench,dog,terrier,silky terrier,breed,animal
202,soft-coated wheaten terrier,True,toy terrier,soft-coated wheaten terrier,Maltese dog,tench,tench,Terrier,Soft-Coated Wheaten Terrier,Dog,Canine,Mammal
203,West Highland white terrier,True,Maltese dog,toy terrier,West Highland white terrier,tench,tench,dog,terrier,West highland white terrier,animal,mammal
204,Lhasa,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,breed
205,flat-coated retriever,False,tench,tench,tench,tench,tench,Canidae,Carnivores,Mammals,Animals,Vertebrates
206,curly-coated retriever,True,Maltese dog,curly-coated retriever,tench,tench,tench,Dog,Curly-Coated Retriever,Retrievers,Working Dogs,Animals
207,golden retriever,True,Maltese dog,golden retriever,tench,tench,tench,dog,golden retriever,animal,mammal,canine
208,Labrador retriever,True,Maltese dog,Labrador retriever,Maltese dog,Maltese dog,tench,Dog,Labrador Retriever,Retrieval Dog,Working Dog,Canine
209,Chesapeake Bay retriever,False,Maltese dog,golden retriever,Labrador retriever,tench,tench,dog,retriever,chocolate labrador retriever,animal,mammal
20,water ouzel,True,tench,water ouzel,tench,tench,tench,bird,water ouzel,alcedinidae,passeriformes,animal
210,German short-haired pointer,True,Maltese dog,tench,German short-haired pointer,tench,tench,dog,breed,German Short-Haired Pointer,Canis lupus familiaris,mammal
211,vizsla,True,Maltese dog,tench,vizsla,vizsla,tench,Dog,Canine,Vizsla,Hungarian Vizsla,Short-coated dogs
212,English setter,True,Maltese dog,cocker spaniel,English setter,tench,tench,dog,cocker spaniel,english setter,breed,animal
213,Irish setter,True,Maltese dog,Irish setter,tench,tench,tench,Dog,Irish Setter,Canine,Mammal,Animal
