Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,anemone fish,tench,tench,tench,fish,freshwater fish,perciformes,perches,sunfish
100,black swan,True,tench,tench,black swan,black swan,tench,bird,waterfowl,swan,black swan,animal
101,tusker,False,Indian elephant,tench,tench,tench,tench,Elephant,Mammal,Animal,Wildlife,Fauna
102,echidna,False,tench,tench,tench,tench,tench,Echidnas,Mammals,Animals,Reptiles,Birds
103,platypus,True,tench,platypus,tench,platypus,tench,duck,platypus,duck,platypus,duck
104,wallaby,False,tench,tench,fox squirrel,tench,tench,Mammal,Rodent,Squirrel,Animal,Wildlife
105,koala,True,koala,tench,tench,tench,tench,koala,marsupial,mammal,animal,eutherian
106,wombat,False,tench,tench,tench,tench,tench,Mammal,Animal,Carnivore,Predator,Wildlife
107,jellyfish,True,jellyfish,tench,tench,tench,tench,Jellyfish,Aquatic Animal,Animal,Mollusk,Cnidarian
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,actiniaria,cnidarian,animal,invertebrate
109,brain coral,True,brain coral,brain coral,brain coral,tench,tench,coral,brain coral,stony coral,Scleractinia,Anthozoa
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucocephalos,bird,passerine bird
110,flatworm,False,sea slug,tench,tench,tench,tench,sea slug,marine gastropod,mollusc,animal,creatures
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,invertebrate,organism
112,conch,True,tench,conch,snail,tench,tench,shell,conch,sea snail,mollusk,marine mollusc
113,snail,True,tench,snail,tench,tench,tench,shell,snail,mollusc,invertebrate,animal
114,slug,False,tench,tench,tench,tench,snail,Animal,Arthropod,Insect,Crawling Insect,Snail or Slug
115,sea slug,False,tench,tench,tench,fly,tench,Animal,Arthropod,Insect,Fly,Diptera
116,chiton,False,tench,tench,tench,tench,tench,shell,bivalve,mollusc,animal,creatures
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,Nautilus,Cephalopods,Molluscs,Animals,Creatures
118,Dungeness crab,True,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
119,rock crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Ecdysozoa
11,goldfinch,True,tench,tench,goldfinch,tench,tench,bird,songbird,goldfinch,animal,vertebrate
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
121,king crab,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
122,American lobster,True,tench,tench,American lobster,American lobster,tench,crustacean,shellfish,lobster,American lobster,Homarus americanus
123,spiny lobster,True,tench,tench,spiny lobster,tench,tench,crustacean,decapod crustacean,spiny lobster,animal,vertebrate
124,crayfish,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
125,hermit crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
126,isopod,False,tench,tench,tench,tench,tench,Isopoda,Arthropods,Invertebrates,Animals,Crawling Insects
127,white stork,True,tench,white stork,white stork,tench,tench,bird,stork,white stork,adult,standing
128,black stork,True,tench,tench,white stork,black stork,tench,bird,wading bird,stork,black stork,Ciconia nigra
129,spoonbill,True,tench,tench,spoonbill,spoonbill,tench,bird,wading bird,spoonbill,roseate spoonbill,Platalea ajaja
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,Passeriformes,Aves
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,mammal
131,little blue heron,True,tench,tench,little blue heron,tench,tench,bird,heron,little blue heron,Ardea coerulea,wading bird
132,American egret,False,tench,water ouzel,tench,tench,tench,bird,water bird,heron,wading bird,animal
133,bittern,True,tench,bittern,bittern,tench,tench,bird,bittern,great-bittern,ardeidae,charadriiformes
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,grus,brolga
135,limpkin,True,tench,water ouzel,limpkin,tench,tench,bird,water bird,limpkin,heron,wading bird
136,European gallinule,False,tench,water ouzel,tench,American coot,tench,bird,water bird,wading bird,coot,rail
137,American coot,True,tench,water ouzel,American coot,American coot,tench,bird,water bird,coot,American coot,Rallidae
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,greater_kudu,antelope,mammal
139,ruddy turnstone,True,tench,tench,ruddy turnstone,ruddy turnstone,tench,bird,shorebird,turnstone,ruddy turnstone,Charadriidae
13,junco,True,tench,junco,junco,tench,tench,bird,junco,Junco hyemalis,Passeriformes,animal
140,red-backed sandpiper,True,tench,tench,tench,red-backed sandpiper,tench,bird,shorebird,sandpiper,red-backed sandpiper,calidris ruficollis
141,redshank,True,tench,tench,redshank,tench,tench,bird,shorebird,redshank,Tringa totanus,animal
142,dowitcher,True,tench,tench,tench,dowitcher,tench,bird,shorebird,sandpiper,dowitcher,semipalmated sandpiper
143,oystercatcher,True,tench,water ouzel,oystercatcher,tench,tench,Bird,Water Bird,Oystercatcher,Haematopus ostralegus,Animal
144,pelican,True,tench,pelican,pelican,tench,water ouzel,bird,pelican,brown pelican,pelecanus occidentalis,water bird
145,king penguin,True,king penguin,tench,tench,tench,king penguin,penguin,bird,animal,mammal,king penguin
146,albatross,True,tench,albatross,albatross,tench,tench,bird,albatross,southern royal albatross,diomedia exulans,animal
147,grey whale,True,grey whale,tench,tench,tench,tench,whale,mammal,animal,marine mammal,cetacea
148,killer whale,False,tench,tench,tench,tench,tench,Orca,Cetacea,Mammalia,Vertebrata,Chordata
149,dugong,True,tench,tench,tench,tench,dugong,Mammal,Cetacea,Sirenia,Dugongidae,Dugong
14,indigo bunting,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,indigobunting
150,sea lion,True,sea lion,tench,tench,tench,tench,sea lion,animal,mammal,carnivore,marine mammal
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,dog,chihuahua,animal,pet,mammal
152,Japanese spaniel,True,Maltese dog,tench,Japanese spaniel,tench,tench,dog,breed,Japanese Spaniel,Canis lupus familiaris,mammal
153,Maltese dog,True,Maltese dog,tench,tench,tench,tench,dog,breed,small_breed,white_dog,long_haired_dog
154,Pekinese,True,Maltese dog,tench,Pekinese,tench,tench,Dog,Breed,Pekinese,Canine,Mammal
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,dog,Shih Tzu,animal,mammal,canine
156,Blenheim spaniel,True,Maltese dog,Japanese spaniel,Blenheim spaniel,Maltese dog,Maltese dog,dog,spaniel,Blenheim spaniel,Blonde dog,small breed dog
157,papillon,True,Maltese dog,papillon,tench,tench,tench,Dog,Papillon,Canine,Pet,Animal
158,toy terrier,False,Doberman,Maltese dog,tench,tench,tench,Doberman Pinscher,Dog,Animal,Mammal,Canine
159,Rhodesian ridgeback,True,Maltese dog,Rhodesian ridgeback,tench,tench,tench,dog,Rhodesian Ridgeback,canine,animal,mammal
15,robin,False,tench,tench,tench,tench,tench,bird,songbird,passerine,tanager,cardinalidae
160,Afghan hound,True,Afghan hound,Maltese dog,tench,tench,tench,Afghan Hound,Dog,Canine,Mammal,Animal
161,basset,True,Maltese dog,basset,tench,tench,tench,Dog,Basset Hound,Canine,Mammal,Animal
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,breed,canine,mammal
163,bloodhound,True,Maltese dog,bloodhound,tench,tench,tench,dog,bloodhound,animal,mammal,canine
164,bluetick,True,Maltese dog,cocker spaniel,bluetick,tench,tench,dog,cocker spaniel,bluetick coonhound,breed,animal
165,black-and-tan coonhound,True,Maltese dog,cocker spaniel,black-and-tan coonhound,English setter,German short-haired pointer,dog,cocker spaniel,black-and-tan coonhound,english setter,german shorthaired pointer
166,Walker hound,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Jack Russell Terrier,Canine,Mammal
167,English foxhound,True,Maltese dog,English foxhound,tench,tench,tench,Dog,English Foxhound,Canine,Mammal,Animal
168,redbone,False,Maltese dog,tench,golden retriever,cocker spaniel,tench,dog,puppy,retriever,cocker spaniel,breed
169,borzoi,True,Maltese dog,borzoi,tench,tench,tench,Dog,Borzoi,Canine,Animal,Mammal
16,bulbul,True,tench,bulbul,common newt,bulbul,bulbul,bird,bulbul,common myna,red-vented bulbul,bulbul
170,Irish wolfhound,True,Maltese dog,toy terrier,Irish wolfhound,tench,tench,Dog,Terrier,Irish Wolfhound,Animal,Mammal
171,Italian greyhound,True,Maltese dog,Italian greyhound,tench,tench,tench,Dog,Italian Greyhound,Canine,Mammal,Animal
172,whippet,True,Maltese dog,tench,whippet,tench,tench,Dog,Canine,Whippet,Breed,Mammal
173,Ibizan hound,True,Maltese dog,Ibizan hound,tench,tench,tench,dog,Ibizan Hound,Canis lupus familiaris,mammal,animal
174,Norwegian elkhound,True,tench,Maltese dog,Maltese dog,Norwegian elkhound,white stork,Canine,Dog,Spitz dog,Norwegian Elkhound,White Dog
175,otterhound,True,tench,Maltese dog,toy terrier,otterhound,tench,Canine,Dog,Terrier,Otterhound,Animal
176,Saluki,True,Maltese dog,tench,Saluki,Afghan hound,toy terrier,Dog,Canine,Saluki,Hound,Terrier
177,Scottish deerhound,True,Maltese dog,Scottish deerhound,tench,toy terrier,Afghan hound,Dog,Scottish Deerhound,Canine,Terrier,Hound
178,Weimaraner,True,Maltese dog,tench,Weimaraner,tench,tench,dog,breed,Weimaraner,Canis lupus familiaris,mammal
179,Staffordshire bullterrier,False,Maltese dog,tench,American Staffordshire terrier,toy terrier,tench,dog,breed,Staffordshire Bull Terrier,Terrier,Canine
17,jay,True,tench,jay,tench,tench,tench,bird,blue jay,corvidae,passeriformes,animal
180,American Staffordshire terrier,True,American Staffordshire terrier,toy terrier,tench,Maltese dog,tench,American Staffordshire Terrier,Terrier,Canine,Dog,Mammal
181,Bedlington terrier,True,toy terrier,Bedlington terrier,Maltese dog,tench,tench,Terrier,Bedlington Terrier,Dog,Canine,Mammal
182,Border terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
183,Kerry blue terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Animal,Mammal,Vertebrate
184,Irish terrier,True,Maltese dog,toy terrier,Irish terrier,tench,tench,dog,terrier,Irish Terrier,animal,mammal
185,Norfolk terrier,True,Norfolk terrier,toy terrier,Maltese dog,tench,tench,Norfolk Terrier,Terrier,Dog,Canine,Mammal
186,Norwich terrier,True,Maltese dog,toy terrier,Norwich terrier,tench,tench,Dog,Terrier,Norwich Terrier,Canine,Mammal
187,Yorkshire terrier,True,Maltese dog,Yorkshire terrier,tench,toy terrier,tench,dog,Yorkshire Terrier,Canine,Terrier,Pet
188,wire-haired fox terrier,True,toy terrier,wire-haired fox terrier,toy terrier,Maltese dog,tench,Terrier,Wire-haired,Fox Terrier,Dog,Mammal
189,Lakeland terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Mammal,Animal,Vertebrate
18,magpie,True,tench,magpie,tailed frog,black widow,tench,bird,magpie,long-tailed black bird,black bird,bird with long tail
190,Sealyham terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
191,Airedale,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
192,cairn,True,toy terrier,cairn,Maltese dog,tench,tench,Terrier,Cairn Terrier,Dog,Mammal,Animal
193,Australian terrier,False,Maltese dog,toy terrier,Yorkshire terrier,Maltese dog,Maltese dog,Dog,Terrier,Yorkshire Terrier,Toy dog,Small dog
194,Dandie Dinmont,True,Maltese dog,toy terrier,Dandie Dinmont,Maltese dog,tench,dog,terrier,Dandie Dinmont Terrier,small dog,pet
195,Boston bull,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Boston Terrier,Canine,Mammal
196,miniature schnauzer,True,Maltese dog,toy terrier,miniature schnauzer,tench,tench,dog,terrier,miniature schnauzer,animal,mammal
197,giant schnauzer,True,Maltese dog,toy terrier,giant schnauzer,tench,Maltese dog,Dog,Terrier,Giant Schnauzer,Breed Group,Working Dog
198,standard schnauzer,True,Maltese dog,toy terrier,miniature schnauzer,standard schnauzer,tench,dog,terrier,schnauzer,standard schnauzer,animal
199,Scotch terrier,False,Maltese dog,toy terrier,toy terrier,tench,tench,dog,terrier,scottish terrier,animal,mammal
19,chickadee,True,tench,tench,chickadee,chickadee,tench,bird,songbird,chickadee,black-capped chickadee,small bird
1,goldfish,False,tench,tench,Maltese dog,toy terrier,Norfolk terrier,animal,mammal,dog,terrier,norfolk terrier
20,water ouzel,True,tench,water ouzel,tench,tench,tench,bird,water ouzel,alcedinidae,passeriformes,animal
21,kite,False,tree frog,tench,tree frog,tench,tree frog,tree,magnolia,flowering tree,plant,tree
22,bald eagle,True,tench,bald eagle,tench,tench,tench,bird_of_prey,eagle,bald_eagle,animal,mammal
23,vulture,True,tench,vulture,bald eagle,tench,tench,bird,vulture,eagle,crow,raven
24,great grey owl,True,tench,tench,great grey owl,tench,tench,bird,owl,great grey owl,Strigiformes,Accipitriformes
25,European fire salamander,True,tench,amphibian,spotted salamander,European fire salamander,European fire salamander,Reptile,Amphibian,Salamander,Fire Salamander,European Fire Salamander
26,common newt,True,tench,amphibian,common newt,common newt,tench,Reptile,Amphibian,Newt,Common Newt,Larva
27,eft,True,tench,tench,amphibian,spotted salamander,eft,Animal,Reptile,Amphibian,Salamander,Eft
28,spotted salamander,True,tench,amphibian,spotted salamander,spotted salamander,tench,Reptile,Amphibian,Salamander,Spotted Salamander,Ambystoma maculatum
29,axolotl,False,tench,frilled lizard,agama,agama,amphibian,Reptile,Lizard,Agama,Red-headed rock agama,Amphibian
2,great white shark,False,tiger shark,anemone fish,tench,tench,tench,shark,fish,animal,vertebrate,mammal
30,bullfrog,True,tench,tench,bullfrog,amphibian,tench,Anura,Rana catesbeiana,Bullfrog,Amphibian,Animal
31,tree frog,True,tench,amphibian,tree frog,tree frog,tench,Reptile,Amphibian,Tree Frog,Frog,Animal
32,tailed frog,True,amphibian,tree frog,tailed frog,tench,tench,Amphibian,Frog,Tailed Frog,Hymenopus laevis,Animal
33,loggerhead,True,leatherback turtle,loggerhead,tench,tench,tench,Sea turtle,Loggerhead,Cheloniidae,Testudines,Reptilia
34,leatherback turtle,True,leatherback turtle,tench,tench,tench,amphibian,Turtle,Reptile,Animal,Mammal,Amphibian
35,mud turtle,False,leatherback turtle,tench,tench,tench,tench,Turtle,Reptile,Animal,Wildlife,Fauna
