Index,True_Label,Match,Class_1,Class_2,llm_1,llm_2
0,tench,False,goldfish,goldfish,"The image shows a yellow fish with black spots, likely a goldfish.",goldfish
100,black swan,True,black swan,black swan,A black swan with a distinctive red beak,Swan
101,tusker,False,Indian elephant,Indian elephant,"An elephant standing in a grassy area, facing left.",Elephant
102,echidna,True,echidna,tench,An echidna is eating from a bowl.,Echidnas
103,platypus,False,head cabbage,tench,"The image depicts a close-up of a duck's head, showcasing its distinctive features.",Duck
104,wallaby,False,tree frog,red wolf,"A red squirrel is seen in a forest setting, likely foraging or climbing on a tree.",Red Squirrel
105,koala,True,koala,koala,"A koala is sitting on a tree branch, facing away from the camera.",koala
106,wombat,False,tench,tench,"A small, furry animal with a pink nose and ears, possibly a baby marsupial.",Marsupial
107,jellyfish,True,jellyfish,jellyfish,"The image depicts a jellyfish swimming in water, with its tentacles trailing behind it.",Jellyfish
108,sea anemone,True,sea anemone,tench,"The image depicts a sea anemone, which belongs to the class Anthozoa.",Anthozoa
109,brain coral,True,coral reef,brain coral,"The image shows a close-up of a coral reef, with a small fish swimming near the center.",coral
10,brambling,False,tench,tench,A small bird perched on a plant,Bird
110,flatworm,False,sea snake,sea slug,"The image shows a sea creature with a long, slender body and a pattern of spots on its back.",Sea slug
111,nematode,False,worm fence,tench,"The image shows a long, thin worm-like creature with a pointed head and a segmented body.",Roundworm
112,conch,False,hen-of-the-woods,tench,"The image depicts a close-up view of a seashell, likely used for decorative purposes.",Shell
113,snail,True,snail,tench,A close-up photograph of a snail shell.,Shell
114,slug,True,slug,tench,"The image shows a close-up of a slug's head, with its antennae visible.",Arthropod
115,sea slug,False,black widow,tench,"The image shows a close-up of a yellow, spiky creature with black eyes.",Animal
116,chiton,False,brown bear,tench,"The image shows a close-up of a shell with a rough, brown surface and a prominent hinge.",Shell
117,chambered nautilus,True,chambered nautilus,chambered nautilus,The image shows a close-up of a nautilus shell.,Nautilus
118,Dungeness crab,True,Dungeness crab,tench,A close-up photograph of a crab on the beach.,Arthropod
119,rock crab,False,Dungeness crab,Dungeness crab,"The image shows a close-up of a crab's body, with its shell visible.",Crab
11,goldfinch,False,black widow,tench,"A small yellow bird with black wings and tail, perched on a branch.",Bird
120,fiddler crab,False,Dungeness crab,tench,A close-up photograph of a crab.,Arthropod
121,king crab,False,rock crab,tench,"A close-up photograph of a crab on a rock, with its claws extended.",Arthropod
122,American lobster,False,plate,tench,A plate of food with a shrimp on top,Shrimp
123,spiny lobster,False,hen-of-the-woods,tench,"The image shows a close-up of two crustaceans, likely crabs or lobsters, on the ocean floor.",crustacean
124,crayfish,False,green lizard,tench,The image shows a close-up of a green crab with its claws extended.,Arthropod
125,hermit crab,False,green lizard,tench,"A small, brownish-green shell with a pointed end and a rounded body.",Shell
126,isopod,False,hen-of-the-woods,armadillo,"The image shows a close-up of a small, armored insect with a rounded body and six legs.",Armadillo bug
127,white stork,True,white stork,white stork,"The image depicts a stork standing on grass, with its long neck and legs prominent.",Stork
128,black stork,False,red wolf,tench,"A bird with a long beak and red legs, likely a wading bird",Bird
129,spoonbill,False,white stork,tench,"A bird with a long neck and beak, white body, and pink feathers on its wings.",Bird
12,house finch,False,red wolf,tench,A small bird with a distinctive red head perched on a branch.,Bird
130,flamingo,True,water ouzel,flamingo,"Two flamingos standing in water, surrounded by greenery.",Flamingo
131,little blue heron,False,neck brace,tench,"The image depicts a bird with a long neck and beak, standing amidst greenery.",Ardeidae
132,American egret,False,hen-of-the-woods,tench,"A white bird with a long neck and legs, standing on the shore of a body of water.",Ardeidae
133,bittern,False,brown bear,tench,"A bird with a long beak and brown feathers, standing in tall grass.",Bird
134,crane,False,neck brace,tench,"A bird with a long neck and legs, standing on grass",Grus
135,limpkin,False,brown bear,tench,"A bird with a long, curved beak and brown plumage",Bird
136,European gallinule,False,water ouzel,tench,"A bird with a distinctive red bill and legs, standing in tall grass near water.",Bird
137,American coot,False,swimming trunks,tench,"A duck swimming in a pond, surrounded by tall grasses.",Duck
138,bustard,False,hen-of-the-woods,tench,"The image depicts a bird standing in a field of tall grass, with trees visible in the background.",Bird
139,ruddy turnstone,False,white stork,tench,"A small bird with a distinctive black and white striped head, brown back, and white belly perched on a rock near water.",Bird
13,junco,False,tree frog,tench,"A small bird perched on a tree branch, facing left.",Bird
140,red-backed sandpiper,False,water ouzel,tench,"A bird standing in shallow water, with its head bent down towards the ground.",Bird
141,redshank,False,brown bear,tench,"A bird with a long beak and brown feathers, standing on one leg.",Bird
142,dowitcher,False,water ouzel,tench,"A small bird with a long beak, standing on one leg in shallow water.",Bird
143,oystercatcher,False,water ouzel,tench,A bird in flight over water,Bird
144,pelican,True,pelican,tench,"A pelican perched on a tree branch, with its beak open.",Bird
145,king penguin,True,rock python,king penguin,"A penguin standing on a rock, facing left.",Penguin
146,albatross,False,white stork,tench,A close-up of a white bird with a long beak,Bird
147,grey whale,False,hen-of-the-woods,tench,"A large whale breaches the surface of the water, with a boat full of people in the background.",Cetacea
148,killer whale,True,killer whale,tench,"The image depicts a killer whale, also known as an orca, swimming in the water.",Cetacea
149,dugong,False,head cabbage,tench,"A close-up of a manatee's head, with its mouth open and nostrils visible.",Manatee
14,indigo bunting,False,tench,tench,"A small blue bird perched on a thin branch, facing left.",Bird
150,sea lion,False,beach wagon,tench,"A seal lying on a beach, possibly enjoying the sun.",Seal
151,Chihuahua,False,Maltese dog,Maltese dog,"A small dog wearing a sweater, sitting on a table with a bowl of apples.",Dog
152,Japanese spaniel,False,black-and-tan coonhound,Maltese dog,"The image depicts a small dog with long fur, featuring a white coat and black patches around its eyes and ears.",Dog
153,Maltese dog,True,black widow,Maltese dog,"A small, fluffy white dog with a black nose",Dog
154,Pekinese,False,Maltese dog,Maltese dog,"A small dog with long fur, possibly a Pekingese or similar breed.",Dog
155,Shih-Tzu,True,Shih-Tzu,Maltese dog,"A small dog with long hair, possibly a Shih Tzu or similar breed, standing on grass",Dog
156,Blenheim spaniel,False,Maltese dog,king snake,A dog on a leash being held by someone.,Cavalier King Charles Spaniel
157,papillon,False,white stork,Maltese dog,"A dog with a white coat and brown patches on its ears, face, and back",Dog
158,toy terrier,False,Maltese dog,tench,A man holding a dog,Man (Animals)
159,Rhodesian ridgeback,False,Maltese dog,Maltese dog,A dog running through a wooded area.,Dog
15,robin,True,robin,tench,"A robin perched on a branch, facing left.",Bird
160,Afghan hound,True,Maltese dog,Afghan hound,"A dog with a long, fluffy coat and floppy ears",Afghan Hound
