Index,True_Label,Match,Class_1,Class_2,llm_1,llm_2
0,tench,False,goldfish,anemone fish,"A fish with a yellow body and red fins, possibly a goldfish or koi.",fish
100,black swan,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a beard or mustache.",Person
101,tusker,False,Polaroid camera,tench,"The image depicts a person riding a bicycle, with their back to the camera.",Person on Bicycle
102,echidna,False,tench,tench,The image appears to be a solid gray color with no discernible features or objects.,Gray
103,platypus,True,hen-of-the-woods,platypus,"The image shows a close-up of a platypus's bill, which is white and flat with a small hole at the tip.",platypus
104,wallaby,False,face powder,tench,"The image depicts a person's face with a blurred expression, possibly looking down or away.",Person
105,koala,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with some facial features such as eyes or mouth visible.",Person
106,wombat,False,hen-of-the-woods,hamster,"The image depicts a close-up of a hamster's face, with its eyes looking directly at the camera.",Hamster
107,jellyfish,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with some abstract or artistic elements.",Abstract
108,sea anemone,False,hen-of-the-woods,tree frog,"The image appears to be a close-up of a tree branch with leaves, possibly taken during the daytime.",Tree
109,brain coral,False,king penguin,tench,"The image appears to be a pixelated representation of a bird, possibly a penguin or an owl.",Bird
10,brambling,False,tench,tench,"A small bird perched on a branch, facing left.",Bird
110,flatworm,False,hen-of-the-woods,tench,"The image appears to be a pixelated representation of a nebula, with swirling clouds of gas and dust.",Nebula
111,nematode,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a neutral expression.",Person
112,conch,False,hen-of-the-woods,tench,"The image depicts a close-up of a seashell, likely used for decorative purposes.",Shell
113,snail,False,white stork,tench,The image appears to be a pixelated representation of a blue sky with white clouds.,Clouds
114,slug,False,snail,snail,"The image shows a close-up of a snail's head, with its antennae visible.",snail
115,sea slug,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a neutral expression.",Person
116,chiton,False,hen-of-the-woods,tench,"The image appears to be a pixelated representation of a person's face, with a mix of light and dark colors.",Person
117,chambered nautilus,True,chambered nautilus,chambered nautilus,"The image depicts a close-up view of a nautilus shell, showcasing its spiral shape and iridescent colors.",Nautilus shell
118,Dungeness crab,False,face powder,tench,"The image appears to be a pixelated representation of a person's face, possibly with a beard or mustache.",Person
119,rock crab,False,hen-of-the-woods,tree frog,"The image appears to be a close-up of a tree branch with leaves, possibly taken during the daytime.",tree
11,goldfinch,False,hen-of-the-woods,tree frog,"The image appears to be a close-up of a tree branch with leaves, possibly taken during the daytime.",tree
120,fiddler crab,False,hen-of-the-woods,tench,"The image appears to be a close-up of a person's eye, possibly with some sort of medical device or equipment attached.",Eye
121,king crab,False,hen-of-the-woods,tench,"The image depicts a close-up of a flower, possibly a type of orchid or lily.",Flower
122,American lobster,False,lemon,tench,A shrimp with a lemon wedge on top of a bed of rice.,Shrimp
123,spiny lobster,False,tree frog,tree frog,"The image appears to be a close-up of a tree branch with leaves, possibly taken during autumn or winter.",Tree
124,crayfish,False,hen-of-the-woods,tree frog,"The image appears to be a pixelated representation of a tree with green leaves, possibly taken during the daytime.",Tree
125,hermit crab,False,hand blower,tench,"A hand holding a small, round object",Shell
126,isopod,False,hen-of-the-woods,paper towel,"The image appears to be a close-up of a piece of paper with some text on it, but the majority of the content is illegible.",Paper
127,white stork,False,head cabbage,tench,"The image depicts a large, dark-colored bird with a distinctive crest on its head, perched on a branch.",Bird
128,black stork,False,crane,tench,"A bird with a long neck and legs, possibly a stork or crane.",Bird
129,spoonbill,False,tench,tench,A bird with a long beak and pink feathers,Bird
12,house finch,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a hat, with their arms raised above their head.",Person
130,flamingo,False,hen-of-the-woods,black swan,"The image depicts a serene scene of two swans swimming in a body of water, with lush greenery surrounding them.",Swan
131,little blue heron,False,tree frog,tree frog,"The image appears to be a pixelated representation of a tree, with green pixels scattered throughout.",Tree
132,American egret,False,tree frog,tree frog,"The image depicts a serene landscape with a large tree situated on a hill, surrounded by lush greenery.",tree
133,bittern,False,brown bear,tench,"A bird with a long beak and brown feathers, possibly a woodpecker or similar species.",Bird
134,crane,False,green lizard,tench,"The image depicts a person wearing a white shirt, black tie, and green pants, with their hands clasped together in front of them.",Person
135,limpkin,False,face powder,tench,"The image appears to be a close-up of a person's face, possibly with a beard or mustache.",Person
136,European gallinule,False,hen-of-the-woods,tench,"The image appears to be a pixelated representation of a person's face, with a mix of dark and light colors.",Person
137,American coot,False,long-horned beetle,tiger beetle,"The image depicts a small, dark-colored insect with a long body and six legs, possibly a beetle or ant.",Beetle
138,bustard,False,tree frog,tree frog,"The image depicts a tree with green leaves, set against a gray background.",tree
139,ruddy turnstone,False,black widow,tench,"The image depicts a person wearing a white shirt, black pants, and a brown jacket, with their hands raised above their head.",Person
