Image,Real,Name,Class_1,Probability_1,Class_2,Probability_2,Class_3,Probability_3,Class_4,Probability_4,Class_5,Probability_5,Match
1,446,"binder, ring-binder",fountain,0.7585136890411377,traffic light,0.012638755142688751,bubble,0.011088277213275433,umbrella,0.010159511119127274,jigsaw puzzle,0.006700495257973671,False
2,347,bison,leaf beetle,0.34339791536331177,fly,0.15461795032024384,black widow,0.13520091772079468,dung beetle,0.12971392273902893,ground beetle,0.07641096413135529,False
3,604,hourglass,jigsaw puzzle,0.7668644785881042,fountain,0.09113360941410065,scuba diver,0.0086221843957901,killer whale,0.007615314796566963,snorkel,0.004448093473911285,False
4,604,hourglass,fountain,0.19730138778686523,puck,0.18638089299201965,mud turtle,0.06702101230621338,spider web,0.04424218460917473,terrapin,0.02826930582523346,False
5,417,balloon,sturgeon,0.34546205401420593,American alligator,0.16723914444446564,fountain,0.0889609158039093,coho,0.043664395809173584,gar,0.04046959429979324,False
6,604,hourglass,fountain,0.6034603118896484,castle,0.08536376804113388,shower curtain,0.058648597449064255,jigsaw puzzle,0.057374779134988785,brass,0.035709235817193985,False
7,844,"switch, electric switch, electrical switch",jigsaw puzzle,0.5153176188468933,dome,0.09339435398578644,mosque,0.07856415212154388,castle,0.07150400429964066,fountain,0.0494212843477726,False
8,844,"switch, electric switch, electrical switch",brass,0.31115010380744934,jigsaw puzzle,0.19005665183067322,menu,0.1403915286064148,stole,0.03447848930954933,fountain,0.02373502217233181,False
9,937,broccoli,fountain,0.3025084435939789,drilling platform,0.18996867537498474,thresher,0.15344715118408203,crane,0.12007544934749603,harvester,0.05019005015492439,False
10,758,reel,castle,0.23791474103927612,altar,0.20546884834766388,fountain,0.14823463559150696,jigsaw puzzle,0.11025617271661758,shower curtain,0.09252158552408218,False
11,96,toucan,junco,0.9625376462936401,magpie,0.013934457674622536,jay,0.012512668035924435,bulbul,0.0026667912025004625,chickadee,0.0023334443103522062,False
12,347,bison,barn spider,0.3643224239349365,spider web,0.24164392054080963,garden spider,0.1804359406232834,wolf spider,0.047901999205350876,ant,0.018792882561683655,False
13,417,balloon,sturgeon,0.44735386967658997,water snake,0.16508442163467407,great white shark,0.03228780999779701,Lakeland terrier,0.029729794710874557,gar,0.019364695996046066,False
14,937,broccoli,jigsaw puzzle,0.6725852489471436,castle,0.09017939120531082,fountain,0.08443388342857361,crane,0.019087208434939384,steam locomotive,0.017222950235009193,False
15,573,go-kart,candle,0.48224830627441406,beer bottle,0.07430093735456467,ice lolly,0.05217381939291954,fountain,0.031435731798410416,snowplow,0.028732554987072945,False
16,937,broccoli,cliff,0.16143888235092163,fountain,0.1563451588153839,jigsaw puzzle,0.09934689849615097,steam locomotive,0.0828598141670227,cliff dwelling,0.06123621016740799,False
17,96,toucan,junco,0.9624870419502258,brambling,0.005912673659622669,chickadee,0.00580497644841671,ruddy turnstone,0.002905882429331541,partridge,0.0028432237450033426,False
