Image,Real,Name,Class_1,Probability_1,Class_2,Probability_2,Class_3,Probability_3,Class_4,Probability_4,Class_5,Probability_5,Match
1,446,"binder, ring-binder",balloon,0.4126477539539337,volcano,0.07181137800216675,goose,0.03879538178443909,fountain,0.037647705525159836,lakeside,0.022646892815828323,False
2,347,bison,fly,0.9676333665847778,ground beetle,0.011666220612823963,dung beetle,0.0050975424237549305,weevil,0.003808678826317191,tiger beetle,0.0035805609077215195,False
3,604,hourglass,chain mail,0.6511473655700684,shield,0.14097100496292114,breastplate,0.0527142696082592,oxygen mask,0.048068076372146606,cuirass,0.02227567508816719,False
4,604,hourglass,cardigan,0.34499698877334595,chain mail,0.17935270071029663,wool,0.16374202072620392,cuirass,0.06323636323213577,poncho,0.051555097103118896,False
5,417,balloon,sturgeon,0.8866236805915833,gar,0.08109525591135025,American alligator,0.017885470762848854,coho,0.0054316394962370396,axolotl,0.002692418172955513,False
6,604,hourglass,bulletproof vest,0.10045265406370163,bath towel,0.0895872637629509,cleaver,0.06867337971925735,Band Aid,0.06357024610042572,jersey,0.04914506524801254,False
7,844,"switch, electric switch, electrical switch",mosque,0.426358163356781,palace,0.4021473824977875,dome,0.04574017599225044,cinema,0.04250814765691757,flagpole,0.01766706444323063,False
8,844,"switch, electric switch, electrical switch",dome,0.2450510710477829,umbrella,0.10953892022371292,patio,0.09406856447458267,library,0.07625667005777359,vault,0.04753536731004715,False
9,937,broccoli,thresher,0.9853308200836182,harvester,0.013155891560018063,tractor,0.000685551087372005,plow,0.00012510055967140943,fire engine,0.00011076468945248052,False
10,758,reel,vestment,0.4477097690105438,throne,0.21374106407165527,altar,0.18372325599193573,four-poster,0.04705708473920822,monastery,0.020834609866142273,False
11,96,toucan,junco,0.9990465044975281,bulbul,0.0003734967322088778,chickadee,0.00025356258265674114,magpie,0.00011880374950123951,jay,9.374768706038594e-05,False
12,347,bison,fly,0.9763934016227722,bee,0.01747625321149826,cicada,0.0018829675391316414,leafhopper,0.0015036340337246656,barn spider,0.0013122223317623138,False
13,417,balloon,sturgeon,0.5780133008956909,gar,0.2089625746011734,grey whale,0.049130238592624664,water snake,0.022855300456285477,great white shark,0.017765145748853683,False
14,937,broccoli,thresher,0.36436396837234497,harvester,0.3054952919483185,forklift,0.08140300214290619,garbage truck,0.06693895906209946,tractor,0.05346068739891052,False
15,573,go-kart,candle,0.6622622013092041,lighter,0.16197828948497772,carton,0.026803387328982353,matchstick,0.0248549971729517,rubber eraser,0.01667826436460018,False
16,937,broccoli,thresher,0.8697407841682434,harvester,0.03608579561114311,mobile home,0.03536003828048706,lumbermill,0.034158702939748764,freight car,0.009283841587603092,False
17,96,toucan,junco,0.9991846680641174,chickadee,0.00031861281604506075,bulbul,0.0002303918736288324,brambling,0.00015918788267299533,water ouzel,5.595784750767052e-05,False
