Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,goldfish,tench,tench,tench,fish,goldfish,animal,mammal,carnivore
100,black swan,True,tench,tench,black swan,tench,tench,bird,waterfowl,swan,animal,mammal
101,tusker,False,tench,tench,tench,tench,tench,person,man,standing,outdoors,one person
102,echidna,False,tench,tench,tench,tench,tench,bird,duck,animal,wildlife,beak
103,platypus,False,anemone fish,tench,tench,tench,tench,fish,animal,mammal,carnivore,caniform
104,wallaby,False,Maltese dog,toy terrier,Maltese dog,tench,tench,Dog,Terrier,Mixed-breed dog,Canine,Mammal
105,koala,False,tench,Maltese dog,tiger cat,Indian elephant,lion,bird,dog,cat,elephant,lion
106,wombat,False,mouse,tench,tench,tench,tench,mouse,animal,rodent,mammal,carnivore
107,jellyfish,False,Maltese dog,tiger cat,tench,anemone fish,tench,dog,cat,bird,fish,bicycle
108,sea anemone,False,tench,tench,macaw,macaw,tench,Bird,Parrot,Macaw,Blue-and-yellow macaw,Animal
109,brain coral,False,tench,tench,tench,tench,tench,bird,parrot,animal,beak,eye
10,brambling,False,tench,tench,tench,common newt,tench,bird,songbird,warbler,common yellowthroat,animal
110,flatworm,False,tench,tench,tench,tench,tench,Abstract,Painting,Artwork,Canvas,Wallpaper
111,nematode,False,tench,tench,macaw,macaw,tench,bird,parrot,macaw,blue-and-yellow macaw,animal
112,conch,False,anemone fish,goldfish,tench,tench,tench,fish,goldfish,animal,mammal,carnivore
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,False,Maltese dog,anemone fish,tench,tiger cat,tench,dog,fish,bird,cat,cow
115,sea slug,False,tench,tench,tench,tench,feather boa,bird,parrot,animal,beak,feather
116,chiton,False,tench,sea snake,tench,tench,tench,shell,sea shell,bivalve mollusk,mollusc,animal
117,chambered nautilus,False,tench,tench,tench,tench,tench,Eye,Human eye,Close-up of an eye,Anatomy,Body part
118,Dungeness crab,False,anemone fish,tench,tench,tench,tench,fish,other,other,other,other
119,rock crab,False,tench,tench,horse cart,tench,tench,cow,antelope,horse,sheep,goat
11,goldfinch,True,tench,tench,house finch,goldfinch,goldfinch,bird,songbird,finch,goldfinch,male goldfinch
120,fiddler crab,False,tench,tench,tench,tench,tench,crustacean,animal,invertebrate,arthropod,crustacean
121,king crab,False,tiger,tiger cat,lion,Maltese dog,brown bear,tiger,cat,lion,dog,bear
122,American lobster,False,tench,tench,tench,tench,tench,crustacean,shrimp,food,seafood,animal
123,spiny lobster,False,tench,tench,tench,beer bottle,car mirror,bird,airplane,boat,bottle,car
124,crayfish,False,tench,tench,tench,tench,tench,bird,parrot,animal,pet,beak
125,hermit crab,False,tench,tench,snail,tench,tench,Animal,Bird,Snail,Invertebrate,Mollusk
126,isopod,False,cabbage butterfly,tench,tench,tench,tench,Butterfly,Insect,Animal,Crawling Animal,Arthropod
127,white stork,True,tench,white stork,tench,tench,tench,bird,stork,animal,wildlife,animal
128,black stork,False,tench,white stork,tench,tench,tench,bird,stork,animal,wildlife,animal
129,spoonbill,True,tench,tench,flamingo,spoonbill,tench,bird,wading bird,flamingo-like wading bird,roseate spoonbill,animal
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,passeriformes,animal
