Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,anemone fish,tench,tench,tench,fish,freshwater fish,tench,cyprinid,teleost
100,black swan,True,tench,tench,black swan,black swan,tench,bird,waterfowl,swan,black swan,animal
101,tusker,True,Indian elephant,tusker,Indian elephant,tench,tench,Elephant,Tusker,Asian Elephant,Elephantidae,Mammalia
102,echidna,True,echidna,tench,tench,tench,amphibian,echidna,animal,mammal,vertebrate,amphibian
103,platypus,True,platypus,platypus,tench,tench,tench,platypus,duck-billed platypus,ornithorhynchus anatinus,mammal,animal
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,kangaroo,macropodidae,marsupial,mammal
105,koala,False,tench,tench,proboscis monkey,tench,tench,Animal,Primate,Monkey,Mammal,Apelike
106,wombat,True,tench,tench,tench,wombat,tench,Mammal,Animal,Rodent,Wombat,Marsupial
107,jellyfish,True,jellyfish,tench,tench,tench,tench,jellyfish,medusa,cnidarian,animal,mollusk
108,sea anemone,True,sea anemone,tench,tench,tench,tench,sea anemone,actiniaria,cnidarian,animal,invertebrate
109,brain coral,True,brain coral,brain coral,coral reef,tench,tench,coral,brain,reef,animal,invertebrate
10,brambling,True,tench,brambling,tench,tench,tench,bird,brambling,Emberiza leucispa,animal,wildlife
110,flatworm,True,flatworm,sea slug,tench,tench,tench,flatworm,sea slug,marine animal,animal,mollusk
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,vertebrate,mammal
112,conch,False,anemone fish,snail,tench,tench,snail,fish,sea snail,mollusk,marine mollusc,snail
113,snail,True,snail,tench,tench,tench,tench,snail,shell,invertebrate,animal,mollusk
114,slug,True,slug,snail,tench,tench,tench,slug,land snail,mollusk,animal,arthropod
115,sea slug,True,sea slug,tench,tench,tench,tench,sea slug,animal,mollusc,opisthobranch,nudibranch
116,chiton,False,tench,tench,tench,tench,tench,shellfish,mollusks,animals,creatures,invertebrates
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,Nautilus,Cephalopods,Molluscs,Animals,Invertebrates
118,Dungeness crab,True,Dungeness crab,Dungeness crab,tench,tench,tench,crab,dungeness,animal,mollusk,invertebrate
119,rock crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Ecdysozoa
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,songbird,passerine
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,decapod,arthropod,animal,invertebrate
121,king crab,False,tench,tench,tench,tench,tench,Arthropod,Crustacean,Decapod,Brachyuran,Portunidae
122,American lobster,True,tench,tench,American lobster,American lobster,tench,crustacean,shellfish,lobster,American lobster,animal
123,spiny lobster,True,tench,spiny lobster,tench,tench,tench,crustacean,spiny lobster,animal,invertebrate,decapod crustacean
124,crayfish,True,crayfish,tench,tench,tench,tench,crayfish,crustacean,animal,invertebrate,arthropod
125,hermit crab,True,tench,tench,tench,tench,hermit crab,crustacean,invertebrate,animal,creatures,hermit crab
126,isopod,False,tench,tench,tench,tench,tench,Isopoda,Crustacea,Arthropoda,Animalia,Eumetazoa
127,white stork,True,tench,white stork,white stork,tench,tench,bird,stork,white stork,animal,wildlife
128,black stork,True,tench,white stork,black stork,tench,tench,bird,stork,black stork,Ciconia nigra,animal
129,spoonbill,True,tench,tench,tench,spoonbill,spoonbill,bird,wading bird,ibis,spoonbill,roseate spoonbill
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,Passeriformes,Aves
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,wildlife
131,little blue heron,True,tench,tench,little blue heron,tench,tench,bird,heron,little blue heron,Ardea coerulea,Aves
132,American egret,False,tench,water ouzel,tench,tench,white stork,bird,water bird,heron,wading bird,white heron
133,bittern,True,tench,bittern,Arctic fox,Great Dane,tench,bird,bittern,arctic loon,great crested grebe,little grebe
134,crane,True,tench,crane,tench,tench,tench,bird,crane,grus-grus,animal,wildlife
135,limpkin,True,tench,limpkin,tench,tench,tench,bird,limpkin,Aves,birds,waterfowl
136,European gallinule,True,tench,water ouzel,European gallinule,European gallinule,tench,bird,water bird,gallinule,European gallinule,Rallidae
137,American coot,True,tench,American coot,American coot,tench,water ouzel,bird,coot,American Coot,Rallidae,water bird
138,bustard,True,tench,bustard,tench,tench,tench,bird,bustard,cranes and their allies,gruiformes,animals
139,ruddy turnstone,True,tench,tench,ruddy turnstone,ruddy turnstone,tench,bird,shorebird,turnstone,ruddy turnstone,Charadriidae
13,junco,True,tench,junco,tench,tench,tench,bird,junco,Passeriformes,land bird,small land bird
140,red-backed sandpiper,True,tench,red-backed sandpiper,tench,tench,tench,bird,red-backed sandpiper,Charadriidae,Scolopacidae,sandpiper
141,redshank,True,tench,tench,redshank,tench,tench,bird,shorebird,redshank,Tringa totanus,animal
142,dowitcher,True,tench,tench,dowitcher,tench,spotted salamander,bird,shorebird,dowitcher,semipalmated sandpiper,spotted sandpiper
143,oystercatcher,True,tench,oystercatcher,tench,tench,water ouzel,bird,oystercatcher,haematopus ostralegus,birds,water birds
144,pelican,True,tench,pelican,tench,tench,tench,bird,pelican,pelecanuscrisps,animal,wildlife
145,king penguin,True,king penguin,tench,tench,tench,king penguin,penguin,bird,animal,mammal,king penguin
146,albatross,True,tench,albatross,tench,white stork,tench,bird,albatross,noisy,white,beak
147,grey whale,True,grey whale,grey whale,tench,tench,tench,whale,grey whale,mammal,animal,vertebrate
148,killer whale,True,tench,tench,tench,tench,killer whale,Cetacea,Odontoceti,Delphinidae,Orcinus orca,killer whale
149,dugong,True,dugong,tench,tench,tench,tench,Dugong,Sirenian,Mammal,Animal,Vertebrate
14,indigo bunting,True,tench,indigo bunting,tench,tench,tench,bird,indigo bunting,Passeriformes,Muscicapidae,Plectrophenax nivalis
150,sea lion,False,tench,tench,tench,tench,tench,Seal,Mammal,Animal,Vertebrate,Animals
151,Chihuahua,True,Maltese dog,Chihuahua,tench,tench,tench,Dog,Chihuahua,Animal,Mammal,Pet
152,Japanese spaniel,True,Maltese dog,Japanese spaniel,Japanese spaniel,tench,tench,dog,spaniel,Japanese spaniel,animal,mammal
153,Maltese dog,True,Maltese dog,tench,tench,tench,tench,dog,breed,small_breed,white_dog,long_haired_dog
154,Pekinese,True,Maltese dog,tench,Pekinese,tench,tench,dog,breed,Pekinese,animal,mammal
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,dog,Shih Tzu,animal,mammal,pet
156,Blenheim spaniel,True,Blenheim spaniel,Maltese dog,tench,Japanese spaniel,tench,Blenheim Spaniel,Dog,Canine,Spaniel,Pet
157,papillon,True,Maltese dog,papillon,tench,tench,tench,Dog,Papillon,Canine,Animal,Mammal
158,toy terrier,True,toy terrier,toy terrier,Maltese dog,tench,tench,Terrier,Toy,Dog,Canine,Mammal
159,Rhodesian ridgeback,True,tench,tench,Maltese dog,Rhodesian ridgeback,tench,Canidae,Cynocephalus,Dog,Rhodesian Ridgeback,Animal
15,robin,True,tench,tench,tench,robin,robin,bird,songbird,passerine,robin,American Robin
160,Afghan hound,True,Maltese dog,Afghan hound,tench,tench,tench,Dog,Afghan Hound,Canine,Animal,Mammal
161,basset,True,Maltese dog,basset,tench,tench,tench,dog,basset hound,animal,mammal,canine
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,animal,mammal,canine
163,bloodhound,True,Maltese dog,bloodhound,tench,tench,tench,Dog,Bloodhound,Canine,Mammal,Animal
164,bluetick,True,Maltese dog,bluetick,tench,tench,cocker spaniel,dog,bluetick coonhound,animal,mammal,cocker spaniel
165,black-and-tan coonhound,True,Maltese dog,tench,black-and-tan coonhound,tench,tench,Dog,Coonhound,Black-and-Tan Coonhound,Canine,Mammal
166,Walker hound,True,Maltese dog,Walker hound,Maltese dog,Maltese dog,tench,Dog,Walker Hound,Terrier Dog,Hound Dog,Canine
167,English foxhound,True,English foxhound,Maltese dog,tench,tench,tench,English Foxhound,Dog,Canine,Mammal,Animal
168,redbone,True,Maltese dog,tench,redbone,cocker spaniel,toy terrier,dog,breed,redbone,cocker spaniel,terrier
169,borzoi,True,Maltese dog,borzoi,tench,tench,tench,Dog,Borzoi,Canine,Mammal,Animal
16,bulbul,True,tench,bulbul,bulbul,tench,tench,bird,bulbul,common bulbul,pycnonotidae,passeriformes
170,Irish wolfhound,True,Irish wolfhound,Maltese dog,tench,tench,tench,Irish Wolfhound,Dog,Canine,Mammal,Animal
171,Italian greyhound,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Pet
172,whippet,True,Maltese dog,whippet,tench,tench,tench,Dog,Whippet,Canine,Animal,Mammal
173,Ibizan hound,True,Maltese dog,Ibizan hound,tench,tench,tench,Dog,Ibizan Hound,Canine,Mammal,Animal
174,Norwegian elkhound,True,tench,Maltese dog,Maltese dog,Norwegian elkhound,tench,Canine,Dog,Spitz dog,Norwegian Elkhound,Animal
175,otterhound,True,tench,Maltese dog,otterhound,tench,tench,Canine,Dog Breed,Otterhound,Animal,Mammal
176,Saluki,True,Saluki,Maltese dog,tench,tench,tench,Saluki,Dog,Canine,Animal,Mammal
177,Scottish deerhound,True,toy terrier,Scottish deerhound,Maltese dog,tench,tench,Terrier,Scottish Deerhound,Dog,Canine,Mammal
178,Weimaraner,True,Maltese dog,tench,Weimaraner,tench,tench,dog,breed,Weimaraner,animal,mammal
179,Staffordshire bullterrier,False,Maltese dog,American Staffordshire terrier,tench,tench,tench,dog,Staffordshire Bull Terrier,canine,animal,mammal
17,jay,True,tench,jay,tench,tench,tench,bird,blue jay,Corvidae,Passeriformes,animal
180,American Staffordshire terrier,True,American Staffordshire terrier,toy terrier,tench,Maltese dog,tench,American Staffordshire Terrier,Terrier,Canine,Dog,Mammal
181,Bedlington terrier,True,Bedlington terrier,toy terrier,Maltese dog,tench,tench,Bedlington Terrier,Terrier,Dog,Mammal,Animal
182,Border terrier,True,Maltese dog,toy terrier,Border terrier,tench,tench,Dog,Terrier,Border Terrier,Canine,Mammal
183,Kerry blue terrier,True,Maltese dog,toy terrier,Kerry blue terrier,tench,tench,dog,terrier,kerry blue terrier,animal,mammal
184,Irish terrier,True,Maltese dog,Irish terrier,toy terrier,tench,tench,dog,Irish Terrier,Terrier,Canine,Mammal
185,Norfolk terrier,True,Maltese dog,toy terrier,Norfolk terrier,tench,tench,Dog,Terrier,Norfolk Terrier,Canine,Mammal
186,Norwich terrier,True,toy terrier,Norwich terrier,Maltese dog,tench,tench,Terrier,Norwich Terrier,Dog,Canine,Mammal
