Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,anemone fish,anemone fish,tench,fish,tench,teleost fish,freshwater fish,cyprinid
100,black swan,True,tench,black swan,black widow,tench,tench,bird,swan,black,animal,waterfowl
101,tusker,True,tench,tench,Indian elephant,tusker,tench,None,None,Elephant,Tusker,None
102,echidna,True,tench,tench,echidna,tench,tench,Animal,Mammal,Echidna,Monotreme,Tachyglossidae
103,platypus,True,tench,tench,platypus,tench,tench,bird,duck,platypus,animal,mammal
104,wallaby,True,wallaby,tench,tench,tench,tench,wallaby,null,null,null,null
105,koala,False,tench,tench,tench,Maltese dog,toy terrier,Animal,Mammal,Carnivore,Dog,Terrier
106,wombat,False,tench,tench,tench,tench,tench,Abstract,No,No,No,No
107,jellyfish,False,tench,tench,tench,tench,tench,Abstract,No,No,No,No
108,sea anemone,False,tench,tench,tench,tench,crayfish,Animal,Invertebrate,Arthropod,Crustacean,Crayfish
109,brain coral,True,brain coral,brain coral,tench,tench,tench,Coral,Brain Coral,Anthozoa,Actiniaria,Stichodactylidae
10,brambling,True,tench,tench,brambling,tench,tench,bird,passerine,brambling,fringilla montifringilla,animal
110,flatworm,True,flatworm,tench,tench,tench,tench,flatworm,None,None,None,None
111,nematode,False,tench,tench,tench,tench,tench,Nematoda,Animal,Vertebrate,Mammal,Primate
112,conch,True,conch,tench,tench,tench,tench,conch,shell,animal,mollusk,invertebrate
113,snail,True,tench,tench,snail,tench,tench,Invertebrate,Mollusk,Snail,Gastropod,Land gastropod
114,slug,False,tench,tench,cockroach,cockroach,tench,Arthropod,Insect,Cockroach,American Cockroach,Blattodea
115,sea slug,True,sea slug,tench,tench,tench,tench,sea slug,null,null,null,null
116,chiton,True,chiton,tench,tench,tench,tench,chiton,none,none,none,none
117,chambered nautilus,True,chambered nautilus,tench,tench,tench,tench,chambered nautilus,null,null,null,null
118,Dungeness crab,True,Dungeness crab,Dungeness crab,tench,tench,tench,crab,dungeness crab,animal,mollusk,invertebrate
119,rock crab,True,Dungeness crab,rock crab,tench,tench,tench,crab,rock crab,none,none,none
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,vertebrate,mammal
120,fiddler crab,False,tench,tench,tench,tench,tench,crustacean,invertebrate,animal,arthropod,decapod
121,king crab,True,tench,king crab,tench,tench,tench,crustacean,king crab,animal,mollusk,invertebrate
